"dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentScientificNameCode","currentScientificName","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:28:08.617+11:00","1995-12-15T13:06:39+11:00",2358,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8152,3272,"Lepidium",2358,"oxytrichum",NA,"Sprague",2358,"1826","Lepidium oxytrichum","<em>Lepidium oxytrichum</em>",NA,NA,2358,"1826","Lepidium oxytrichum",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:45:14.513+11:00","1995-12-15T13:06:40+11:00",2359,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13616,2862,"Eucalyptus",2359,"williamsiana",NA,"L.A.S.Johnson & K.D.Hill",2359,"8683","Eucalyptus williamsiana","<em>Eucalyptus williamsiana</em>",NA,NA,2359,"8683","Eucalyptus williamsiana",NA,"true",NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:35:13.517+11:00","1995-12-15T13:06:41+11:00",2360,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13821,3425,"Melaleuca",2360,"glomerata",NA,"F.Muell.",2360,"4251","Melaleuca glomerata","<em>Melaleuca glomerata</em>","Desert Honey-myrtle",NA,2360,"4251","Melaleuca glomerata","Desert Honey-myrtle","true",NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:20:54.077+11:00","1995-12-15T13:06:41+11:00",2361,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6185,1983,"Actinotus",2361,"helianthi",NA,"Labill.",2361,"1094","Actinotus helianthi","<em>Actinotus helianthi</em>","Flannel Flower",NA,2361,"1094","Actinotus helianthi","Flannel Flower","true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","true","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:21:14.357+11:00","1995-12-15T13:06:41+11:00",2362,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6201,2117,"Apium",2362,"prostratum",NA,"Labill. ex Vent.",2362,"1104","Apium prostratum","<em>Apium prostratum</em>","Sea Celery",NA,2362,"1104","Apium prostratum","Sea Celery","true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:32:43.327+11:00","1995-12-15T13:06:42+11:00",2363,"Species",139,"Plantae",38,"Flora",137,"Flora",158,"Lauraceae",12332,2601,"Cryptocarya",2363,"obovata",NA,"R.Br.",2363,"3484","Cryptocarya obovata","<em>Cryptocarya obovata</em>","Pepperberry",NA,2363,"3484","Cryptocarya obovata","Pepperberry","true",NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2019-02-04T16:12:42.137+11:00","2019-02-04T16:12:42.137+11:00",2364,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",2364,"8796","Elymus scaber","<em>Elymus scaber</em>","Common Wheatgrass",NA,22952,"14896","Anthosachne scabra","Wheatgrass, Common Wheatgrass","false",NA,NA,"Alive in NSW, Native","Tussock Grass","Grass & grasslike (GG)","Other Grass","Grass & grasslike (GG)","Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2022-12-14T19:36:59.063+11:00","1995-12-15T13:06:43+11:00",2365,"Variety",139,"Plantae",38,"Flora",137,"Flora",410,"Asphodelaceae",6685,2690,"Dianella",11070,"revoluta","vinosa","R.J.F.Hend.",2365,"7784","Dianella revoluta var. vinosa","<em>Dianella revoluta </em>var.<em> vinosa</em>",NA,NA,2365,"7784","Dianella revoluta var. vinosa",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:43:06.103+11:00","1995-12-15T13:06:43+11:00",2366,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8097,2382,"Cardamine",2366,"paucijuga",NA,"Turcz.",2366,"7746","Cardamine paucijuga","<em>Cardamine paucijuga</em>",NA,NA,2366,"7746","Cardamine paucijuga",NA,"true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
"NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service","2017-10-04T17:32:32.31+11:00","1995-12-15T13:06:43+11:00",2367,"Species",139,"Plantae",38,"Flora",137,"Flora",161,"Lamiaceae",12253,4003,"Salvia",2367,"plebeia",NA,"R.Br.",2367,"3444","Salvia plebeia","<em>Salvia plebeia</em>","Austral Sage",NA,2367,"3444","Salvia plebeia","Austral Sage","true",NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed","false","Not Sensitive",NA,"Not Listed",NA,NA,"false","false","false"
