Kingdom,Class,Family,Species Code,Scientific Name,Exotic,Common Name,NSW status,Comm. status,Records,Info
Plantae,Flora,Acanthaceae,ACNTC,Acanthaceae indeterminate,*,Acanthaceae,,,6,
Plantae,Flora,Acanthaceae,11324,Acanthus mollis,*,Bear's Breeches,,,35,
Plantae,Flora,Acanthaceae,11287,Acanthus spinosus,*,Spine Acanthus,,,3,
Plantae,Flora,Acanthaceae,10753,Asystasia gangetica,*,,,,6,
Plantae,Flora,Acanthaceae,10427,Avicennia marina subsp. australasica,,Grey Mangrove,,,1221,
Plantae,Flora,Acanthaceae,AVIC,Avicennia spp.,,,,,3,
Plantae,Flora,Acanthaceae,1003,Brunoniella australis,,Blue Trumpet,,,10289,
Plantae,Flora,Acanthaceae,1004,Brunoniella pumilio,,Dwarf Blue Trumpet,,,1727,
Plantae,Flora,Acanthaceae,11057,Brunoniella spiciflora,,,,,20,
Plantae,Flora,Acanthaceae,BRUN,Brunoniella spp.,,,,,97,
Plantae,Flora,Acanthaceae,7053,Dipteracanthus australasicus subsp. australasicus,,,,,17,
Plantae,Flora,Acanthaceae,8630,Dipteracanthus australasicus subsp. corynothecus,,,E1,,4,
Plantae,Flora,Acanthaceae,12627,Eranthemum pulchellum,*,,,,3,
Plantae,Flora,Acanthaceae,10847,Harnieria hygrophiloides,,Native Justicia,E1,,76,
Plantae,Flora,Acanthaceae,9202,Hygrophila angustifolia,,,,,35,
Plantae,Flora,Acanthaceae,11241,Hygrophila costata,*,,,,17,
Plantae,Flora,Acanthaceae,HYGR,Hygrophila spp.,,,,,2,
Plantae,Flora,Acanthaceae,10770,Hypoestes aristata,*,,,,14,
Plantae,Flora,Acanthaceae,10226,Hypoestes floribunda,,,,,5,
Plantae,Flora,Acanthaceae,10227,Hypoestes floribunda var. floribunda,,,,,2,
Plantae,Flora,Acanthaceae,7405,Hypoestes floribunda var. pubescens,,,,,23,
Plantae,Flora,Acanthaceae,10771,Hypoestes phyllostachya,*,,,,67,
Plantae,Flora,Acanthaceae,HYPT,Hypoestes spp.,,,,,3,
Plantae,Flora,Acanthaceae,7310,Isoglossa eranthemoides,,Isoglossa,E1,E,87,
Plantae,Flora,Acanthaceae,ISOG,Isoglossa spp.,,,,,1,
Plantae,Flora,Acanthaceae,11208,Justicia betonica,*,,,,2,
Plantae,Flora,Acanthaceae,12259,Justicia caudata,*,,,,1,
Plantae,Flora,Acanthaceae,12629,Mackaya bella,*,,,,3,
Plantae,Flora,Acanthaceae,12564,Odontonema callistachyum,*,,,,1,
Plantae,Flora,Acanthaceae,12419,Odontonema tubaeforme,*,,,,14,
Plantae,Flora,Acanthaceae,1010,Pseuderanthemum variabile,,Pastel Flower,,,8251,
Plantae,Flora,Acanthaceae,9256,Rostellularia adscendens,,Pink Tongues,,,1457,
Plantae,Flora,Acanthaceae,12393,Rostellularia adscendens var. adscendens,,,,,1511,
Plantae,Flora,Acanthaceae,12348,Rostellularia adscendens var. latifolia,,,,,69,
Plantae,Flora,Acanthaceae,12394,Rostellularia adscendens var. pogonanthera,,Pink Tongues,,,304,
Plantae,Flora,Acanthaceae,7044,Rostellularia obtusa,,,,,7,
Plantae,Flora,Acanthaceae,ROST,Rostellularia spp.,,,,,21,
Plantae,Flora,Acanthaceae,12630,Ruellia dipteracanthus,*,,,,2,
Plantae,Flora,Acanthaceae,12631,Ruellia squarrosa,*,,,,22,
Plantae,Flora,Acanthaceae,12632,Ruellia tweediana,*,,,,2,
Plantae,Flora,Acanthaceae,12145,Stephanophysum longifolium,*,,,,2,
Plantae,Flora,Acanthaceae,12043,Strobilanthes anisophyllus,*,Goldfussia,,,7,
Plantae,Flora,Acanthaceae,1012,Thunbergia alata,*,Black-eyed Susan,,,402,
Plantae,Flora,Acanthaceae,THUN,Thunbergia spp.,*,,,,2,
Plantae,Flora,Acanthaceae,1013,Xerothamnella parvifolia,,Small-leaved Little Dry Shrub,E1,V,15,
Plantae,Flora,Acrobolbaceae,11534,Goebelobryum spp.,,,,,1,
Plantae,Flora,Acrobolbaceae,11535,Lethocolea spp.,,,,,1,
Plantae,Flora,Actinidiaceae,13804,Actinidia chinensis,*,Kiwi Fruit,,,6,
Plantae,Flora,Adoxaceae,1953,Sambucus australasica,,Native Elderberry,,,501,
Plantae,Flora,Adoxaceae,1954,Sambucus gaudichaudiana,,White Elderberry,,,152,
Plantae,Flora,Adoxaceae,1955,Sambucus nigra,*,Common Elder,,,53,
Plantae,Flora,Adoxaceae,SAMB,Sambucus spp.,,,,,9,
Plantae,Flora,Adoxaceae,11807,Viburnum japonicum,*,,,,4,
Plantae,Flora,Adoxaceae,11375,Viburnum opulus,*,European cranberrybush,,,3,
Plantae,Flora,Adoxaceae,VIBU,Viburnum spp.,*,,,,33,
