"bionet_name","species_code","suggested_name","taxon_rank","dcterms_rightsHolder","dcterms_rights","dcterms_language","dcterms_type","dcterms_modified","dcterms_available","speciesID","taxonRank","kingdomID","kingdom","classID","class","orderID","order","familyID","family","sortOrder","genusID","genus","parentSpeciesID","specificEpithet","infraspecificEpithet","scientificNameAuthorship","scientificNameID","speciesCode_Synonym","scientificName","scientificNameHTML","vernacularName","otherVernacularNames","taxonID","currentVernacularName","isCurrent","generalTypeID","generalType","establishmentMeans","primaryGrowthForm","primaryGrowthFormGroup","secondaryGrowthForms","secondaryGrowthFormGroups","stateConservation","protectedInNSW","sensitivityClass","TSProfileID","countryConservation","highThreatWeed","widelyCultivatedNativeSpecies","CAMBA","JAMBA","ROKAMBA"
"Lepidium oxytrichum","1826","Lepidium oxytrichum","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:28:08.617,1995-12-15 02:06:39,2358,"Species",139,"Plantae",38,"Flora",137,"Flora",155,"Brassicaceae",8152,3272,"Lepidium",2358,"oxytrichum",NA,"Sprague",2358,"1826","Lepidium oxytrichum","<em>Lepidium oxytrichum</em>",NA,NA,2358,NA,TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Eucalyptus williamsiana","8683","Eucalyptus williamsiana","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:45:14.513,1995-12-15 02:06:40,2359,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13616,2862,"Eucalyptus",2359,"williamsiana",NA,"L.A.S.Johnson & K.D.Hill",2359,"8683","Eucalyptus williamsiana","<em>Eucalyptus williamsiana</em>",NA,NA,2359,NA,TRUE,NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Melaleuca glomerata","4251","Melaleuca glomerata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:35:13.517,1995-12-15 02:06:41,2360,"Species",139,"Plantae",38,"Flora",137,"Flora",156,"Myrtaceae",13821,3425,"Melaleuca",2360,"glomerata",NA,"F.Muell.",2360,"4251","Melaleuca glomerata","<em>Melaleuca glomerata</em>","Desert Honey-myrtle",NA,2360,"Desert Honey-myrtle",TRUE,NA,NA,"Alive in NSW, Native","Shrub","Shrub (SG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Actinotus helianthi","1094","Actinotus helianthi","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:20:54.077,1995-12-15 02:06:41,2361,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6185,1983,"Actinotus",2361,"helianthi",NA,"Labill.",2361,"1094","Actinotus helianthi","<em>Actinotus helianthi</em>","Flannel Flower",NA,2361,"Flannel Flower",TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",TRUE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Apium prostratum","1104","Apium prostratum [alternative possible names: Apium annuum (pro parte misapplied) | Apium insulare (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:21:14.357,1995-12-15 02:06:41,2362,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6201,2117,"Apium",2362,"prostratum",NA,"Labill. ex Vent.",2362,"1104","Apium prostratum","<em>Apium prostratum</em>","Sea Celery",NA,2362,"Sea Celery",TRUE,NA,NA,"Alive in NSW, Native","Forb","Forb (FG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Apium prostratum","1104","Apium prostratum [alternative possible names: Apium annuum (pro parte misapplied) | Apium insulare (pro parte misapplied)]","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:21:14.357,1995-12-15 02:06:41,17184,"Species",139,"Plantae",38,"Flora",137,"Flora",157,"Apiaceae",6201,2117,"Apium",2362,"prostratum",NA,"Labill. ex Vent.",17184,"11965","Apium prostratum subsp. prostratum","<em>Apium prostratum </em>subsp.<em> prostratum</em>",NA,NA,2362,"Sea Celery",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Cryptocarya obovata","3484","Cryptocarya obovata","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2017-10-04 06:32:43.327,1995-12-15 02:06:42,2363,"Species",139,"Plantae",38,"Flora",137,"Flora",158,"Lauraceae",12332,2601,"Cryptocarya",2363,"obovata",NA,"R.Br.",2363,"3484","Cryptocarya obovata","<em>Cryptocarya obovata</em>","Pepperberry",NA,2363,"Pepperberry",TRUE,NA,NA,"Alive in NSW, Native","Tree","Tree (TG)",NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,2364,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",2364,"8796","Elymus scaber","<em>Elymus scaber</em>","Common Wheatgrass",NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native","Tussock Grass","Grass & grasslike (GG)","Other Grass","Grass & grasslike (GG)","Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,3265,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",3265,"6815","Elymus scabrus","<em>Elymus scabrus</em>",NA,NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,3850,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",3850,"4713","Agropyron scabrum","<em>Agropyron scabrum</em>","Wheatgrass",NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
"Anthosachne scabra","14896","Anthosachne scabra","species","NSW Dept of Planning, Industry and Environment","CC-BY 4.0","en","service",2019-02-04 05:12:42.137,2019-02-04 05:12:42.137,8185,"Species",139,"Plantae",38,"Flora",137,"Flora",159,"Poaceae",15278,2104,"Anthosachne",22952,"scabra",NA,"(R.Br.) Nevski",8185,"6801","Elymus scabrus var. scabrus","<em>Elymus scabrus </em>var.<em> scabrus</em>",NA,NA,22952,"Wheatgrass, Common Wheatgrass",FALSE,NA,NA,"Alive in NSW, Native",NA,NA,NA,NA,"Not Listed",FALSE,"Not Sensitive",NA,"Not Listed",NA,NA,FALSE,FALSE,FALSE
