,VR,FA,VS,BL,BT,PD,PS,DM,HR,NF,SR,FP,CS,PJ,SJ,PL,TR
Acaclong,o,n,nd,x,x,l,s,f,h,9,.,n,m,.,x,3,f
Acacmyrt,o,n,nd,x,x,l,s,f,h,4,.,n,m,3(3-5),x,2,f
Acacrubi,o,n,nd,x,x,l,s,f,.,.,.,n,m,.,x,3,f
Acacsuav,o,n,nd,x,x,l,s,f,h,3,.,f,m,3(2-5),x,2,f
Acacterm,o,n,nd,x,x,l,s,f,h,14,.,n,m,4,x,2,f
Actiminu,o,n,nd,s,d,l,s,f,.,.,.,n,g,>5,1,3,f
Allopalu,r,n,nd,s,d,l,c,x,x,x,v,n,m,.,.,4,f
Almapalu,o,n,nd,x,x,l,s,f,.,.,.,n,m,2(1-5),x,2,f
Aotueric,r,n,nd,s,d,l,s,f,l,17,.,n,m,>5,3,4,f
Ariswarb,r,n,cd,s,a,l,.,.,.,.,.,n,g,.,.,5,f
Baecbrev,o,n,nd,x,x,l,s,f,.,.,.,n,m,.,x,3,f
Baecimbr,r,n,nd,s,d,l,s,f,.,.,.,n,m,>7,2,4,f
Baeclini,r,n,nd,s,d,l,s,f,.,.,.,n,m,>7,.,4,f
Bankeric,o,a,nd,x,x,l,c,x,x,x,l,n,t,6(5-10),x,3,f
Bankoblo,r,n,nd,s,d,l,c,x,x,x,l,n,m,>17,2,4,f
Bankpalu,r,n,nd,s,d,l,c,x,x,x,l,n,m,>7,4,4,f
Bankrobu,r,n,nd,s,d,l,c,x,x,x,l,n,m,>17,2,4,f
Bauemicr,r,n,nd,s,d,l,s,f,.,.,.,n,g,4(3-4),.,3,f
Baumacut,r,n,i,s,a,l,.,.,.,.,.,f,g,.,1,5,f
Baumgunn,r,n,i,s,a,l,.,.,.,.,.,f,m,.,.,5,f
Baumrubi,r,n,i,s,a,l,.,.,.,.,.,e,m,.,2,5,f
Baumtere,r,n,i,s,a,l,.,.,.,.,.,e,m,.,1,5,f
Blannobi,r,n,nd,s,a,l,n,x,x,x,x,e,g,.,1,3,f
Blecnudu,r,n,i,s,d,w,n,x,x,x,x,n,m,.,.,5,f
Boroparv,r,n,nd,s,d,l,s,f,.,.,.,n,g,>5(4-?),1,3,f
Brunpumi,r,n,nd,s,d,l,.,.,.,.,.,f,g,.,1,2,f
Burcumbe,r,n,nd,s,a,l,n,x,x,x,x,f,g,.,1,3,f
Caesparv,r,n,nd,s,a,l,n,x,x,x,x,f,g,.,1,3,f
Callcitr,r,n,nd,s,d,l,c,x,x,x,v,n,m,.,.,4,f
Calodubi,r,n,i,s,d,w,n,x,x,x,x,n,m,.,.,5,f
Cassglab,o,n,nd,x,x,l,s,f,.,0,.,n,m,2,x,5,f
Chorcymb,r,n,i,s,a,l,.,.,.,.,.,e,m,.,.,5,f
Chorspha,r,n,i,s,a,l,.,.,.,.,.,e,m,.,1,5,f
Comedefo,r,n,nd,s,d,l,s,f,.,.,.,n,g,>1,1,3,f
Comeretu,r,n,nd,s,d,l,s,f,.,.,.,n,m,>6,5,3,f
Conoelli,r,n,nd,s,d,l,s,f,.,.,.,n,m,.,.,3,f
Conotaxi,r,n,nd,s,d,l,s,f,.,.,.,n,m,4,.,3,f
