Spp code,Genus species  (FAMILY) ,Firee-response group,,,Notes
Acaclong,Acacia longifolia (FAB),ODLSM,,,"Species List for the Swamp Flora of O'Hares Creek Catchment

	Nomenclature follows that accepted by the National Herbarium of 
New South Wales (Jacobs & Pickard 1981, Jacobs & Lapinpuro 1986, 
Harden 1990, 1991). In addition, informal intraspecific taxa are 
recognised within Hakea dactyloides, H.ÿteretifolia and Leptospermum 
trinervium. The multi-stemmed form of H.ÿdactyloides is the 
lignotuberous form of Harden (1991). Eight-letter species codes are the
first four letters of generic and specific epithets, respectively. The
eighth letter may represent the first letter of subspecific or varietal 
epithets or names of informal taxa, as appropriate. Where two species 
would otherwise have identical codes the eighth letter represents the 
first different letter in the specific epithet. Fire-response group codes 
are explained in Fig. 3.4. Where the second-last letter of the code is 
underlined the propagule storage is uncertain and may be soil 
storage (S) or no store (N). Family names have the suffix 'aceae' 
omitted for brevity."
Acacmyrt,Acacia myrtifolia (FAB),ODLSM,,,"The following additional taxa were listed in Table 5.1 for quadrats
marginal to eucalypt woodland: Acaculic, Acacia ulicifolia (FAB);
Anisaven, Anisopogon avenaceus (PO); Bosshete, Bossiaea heterophylla
(FAB); Bracdaph, Brachyloma daphnoides (EPACRID); Doryexce,
Doryanthes excelsa (AGAV); Platline, Platysace linearifolia (API);
and Pultscab, Pultenaea scabra var. scabra (FAB)."
Acacrubi,Acacia rubida (FAB),ODLSM,,,
Acacsuav,Acacia suaveolens (FAB),ODLSM,,,
Acacterm,Acacia terminalis (FAB),ODLSM,,,
Actiminu,Actinotus minor (API),ODLSM,,,
Allopalu,Allocasuarina paludosa (CASUARIN),RDLCM,,,
Almapalu,Almaleea paludosa (FAB),ORLSM,,,
Aotueric,Aotus ericoides (FAB),RDLSM,,,
Ariswarb,Aristida warburgii (PO),RCLSG,,,
Baecbrev,Baeckea brevifolia (MYRT),ODLSM,,,
Baecimbr,Baeckea imbricata (MYRT),RDLSM,,,
Baeclini,Baeckea linifolia (MYRT),RDLSM,,,
Bankeric,Banksia ericifolia (PROTE),ODLCE,,,
Bankoblo,Banksia oblongifolia (PROTE),RDLCM,,,
Bankpalu,Banksia paludosa (PROTE),RDLCM,,,
Bankrobu,Banksia robur (PROTE),RDLCM,,,
Bauemicr,Bauera microphylla (BAUER),RDLSG,,,
Baumacut,Baumea acuta (CYPER),RILSG,,,
Baumgunn,Baumea gunnii (CYPER),RILSM,,,
Baumrubi,Baumea rubiginosa (CYPER),RILSM,,,
Baumtere,Baumea teretifolia (CYPER),RILSM,,,
Blannobi,Blandfordia nobilis (BLANDFORDI),RDLNG,,,
Blecnudu,Blechnum nudum (BLECHN),RIWNM,,,
Boroparv,Boronia parviflora (RUT),RDLSG,,,
Brunpumi,Brunoniella pumilio (ACANTH),RDLSG,,,
Burcumbe,Burchardia umbellata (COLCHIC),RDLNG,,,
Caesparv,Caesia parviflora (ANTHERIC),RDLNG,,,
Callcitr,Callistemon citrinus (MYRT),RDLCM,,,
Calodubi,Calochaena dubia (DICKSONI),RIWNM,,,
Cassglab,Cassytha glabella (LAUR),ODLSM,,,
Chorcymb,Chorizandra cymbaria (CYPER),RILSM,,,
Chorspha,Chorizandra sphaerocephala (CYPER),RILSM,,,
Comedefo,Comesperma defoliatum (POLYGAL),RDLSG,,,
Comeretu,Comesperma retusum (POLYGAL),RDLSM,,,
Conoelli,Conospermum ellipticum (PROTE),RDLSM,,,
Conotaxi,Conospermum taxifolium (PROTE),RDLSM,,,
Coryford,Corybas fordhamii (ORCHID),RCLNG,,,
Cryperic,Cryptandra ericoides (RHAMN),ODLSM,,,
Crypsubu,Cryptostylis subulata (ORCHID),RCLNG,,,
Cyatdian,Cyathochaeta diandra (CYPER),RCLSM,,,
Dampstri,Dampiera stricta (GOODENI),RILSG,,,
Darwfasc,Darwinia fascicularis ssp. fascicularis (MYRT),ODLSM,,,
Darwgran,Darwinia grandiflora (MYRT),RCLSG,,,
Deyedeci,Deyeuxia decipiens (PO),RCLSG,,,
Deyequad,Deyeuxia quadriseta (PO),RCLSG,,,
Dillflor,Dillwynia floribunda (FAB),ODLSM,,,
Drosbina,Drosera binata (DROSER),RILNG,,,
Drospelt,Drosera peltata (DROSER),RDLNG,,,
Drospygm,Drosera pygmaea (DROSER),RDLNG,,,
Drosspat,Drosera spathulata (DROSER),RDLNG,,,
Eleospha,Eleocharis sphacelata (CYPER),RILSM,,,
Empominu,Empodisma minus (RESTION),RILSM,,,
Entostri,Entolasia stricta (PO),RCLSM,,,
Epacmicr,Epacris microphylla (EPACRID),ODLSM,,,
Epacobtu,Epacris obtusifolia (EPACRID),ODLSM,,,
Epacpalu,Epacris paludosa (EPACRID),RDLSM,,,
Eriaglab,Eriachne glabrata (PO),RCLSG,,,
Eucahaem,Eucalyptus haemastoma (MYRT),RDLCE,,,
Eucagumm,Eucalyptus gummifera (MYRT),RDLCE,,,
Euphcols,Euphrasia collina ssp. speciosa (SCROPHULARI),ODLSG,,,
Gahnsieb,Gahnia sieberiana (CYPER),RCLSM,,,
Gleidica,Gleichenia dicarpa (GLEICHENI),RIWNM,,,
Gleimicr,Gleichenia microphylla (GLEICHENI),RIWNM,,,
Glosmino,Glossodia minor (ORCHID),RDLNG,,,
Gonomicr,Gonocarpus micranthus ssp. micranthus (HALORAG),ODLSG,,,
Gonosals,Gonocarpus salsoloides (HALORAG),ODLSG,,,
Gonotetr,Gonocarpus tetragynus (HALORAG),RILSG,,,
Gonoteuc,Gonocarpus teucrioides (HALORAG),ODLSM,,,
Goodbell,Goodenia bellidifolia (GOODENI),RDLSG,,,
Gooddimo,Goodenia dimorpha var angustifolia (GOODENI),RDLSG,,,
Grevoleo,Grevillea oleoides (PROTE),RILSM,,,
Grevparv,Grevilea parviflora (PROTE),ODLSM,,,
Gymnspha,Gymnoschoenus sphaerocephalus (CYPER),RCLSM,,,
Haemcory,Haemodorum corymbosum (HAEMODOR),RDLNG,,,
Hakedacm,Hakea dactyloides (multi-stemmed form) (PROTE),RDLCM,,,
Haketerm,Hakea teretifolia (multi-stemmed form) (PROTE),RDLCM,,,
Haketers,Hakea teretifolia (single-stemmed form) (PROTE),ODLCE,,,
Hemaunic,Hemarthria uncinata (PO),RCLSM,,,
Hibbripa,Hibbertia riparia (DILLENI),RDLSM,,,
Hibbserp,Hibbertia serpyllifolia (DILLENI),RDLSM,,,
Hypegram,Hypericum gramineum (HYPERIC),RDLSG,,,
Hypohygr,Hypoxis hygrometrica (HYPOXID),RDLSG,,,
Hypofast,Hypolaena fastigiata (RESTION),RILSM,,,
Isopanem,Isopogon anemonifolius (PROTE),RDLCM,,,
Juncplan,Juncus planifolius (JUNC),RCLNG,,,
Kunzcapi,Kunzea capitata (MYRT),RDLSM,,,
Lambform,Lambertia formosa (PROTE),RDLCM,,,
Lepifili,Lepidosperma filiforme (CYPER),RCLSM,,,
Lepiflex,Lepidosperma flexuosa (CYPER),RCLSM,,,
Lepifors,Lepidosperma forsythii (CYPER),RCLSM,,,
Lepilimi,Lepidosperma limicola (CYPER),RILSM,,,
Lepinees,Lepidosperma neesii (CYPER),RILSM,,,
Leptacid,Leptomeria acida (SANTAL),ODWNM,,,
Leptarac,Leptospermum arachnoides (MYRT),RDLCM,,,
Leptcont,Leptospermum continentale (MYRT),RDLCM,,,
Leptgran,Leptospermum grandifolium (MYRT),RDLCM,,,
Leptjuni,Leptospermum juniperinum (MYRT),RDLCM,,,
Leptpoly,Leptospermum polygalifolium (MYRT),RDLCM,,,
Leptsqua,Leptospermum sqarrosum (MYRT),ODLCM,,,
Lepttrin,Leptospermum trinervium (broad-leaf form) (MYRT),RDLNM,,,
Lepttena,Leptocarpus tenax (RESTION),RILSM,,,
Lepyanar,Lepyrodia anarthria (RESTION),RILSM,,,
Lepygrac,Lepyrodia gracilis (RESTION),RILSM,,,
Lepyscar,Lepyrodia scariosa (RESTION),RILSM,,,
Leucesqu,Leucopogon esquamatus (EPACRID),ODLSM,,,
Leucmicr,Leucopogon microphyllus (EPACRID),ODLSM,,,
Lindline,Lindsaea linearis (LINDSAE),RCWNG,,,
Lomacyli,Lomandra cylindrica (LOMANDR),RCLSG,,,
Lomafilc,Lomandra filiformis ssp. coriacea (LOMANDR),RCLSG,,,
Lomafilf,Lomandra filiformis ssp. filiformis (LOMANDR),RCLSG,,,
Lomaobli,Lomandra obliqua (LOMANDR),RCLSG,,,
Lomasila,Lomatia silaifolia (PROTE),RDLNM,,,
Lycolate,Lycopodium laterale (LYCOPODI),RCWNG,,,
Melalina,Melaleuca linariifolia (MYRT),RDLCE,,,
Melasqum,Melaleuca squamea (MYRT),ODLCM,,,
Melasqur,Melaleuca squarrosa (MYRT),RDLCE,,,
Melathym,Melaleuca thymifolia (MYRT),RDLCM,,,
Micrstip,Microlaena stipoides var. stipoides (PO),RCLSG,,,
Mirbrubi,Mirbelia rubiifolia (FAB),ODLSG,,,
Mirbspec,Mirbelia speciosa (FAB),ODLSG,,,
Mitrpalu,Mitrasacme paludosa (LOGANI),ODLSG,,,
Mitrpoly,Mitrasacme polymorpha (LOGANI),RDLSG,,,
Monolini,Monotaxis linifolia (EUPHORBI),RDLSG,,,
Opervari,Opercularia varia (RUBI),ODLSG,,,
Orthstri,Orthoceras strictum (ORCHID),RDLNG,,,
Pateaffr,Patersona sp. aff. fragilis (IRID),RCLNG,,,
Pateseri,Patersona sericea (IRID),RCLNG,,,
Perslanc,Persoonia lanceolata (PROTE),ODLSM,,,
Perslevi,Persoonia levis (PROTE),RDLSM,,,
Perspini,Persoonia pinifolia (PROTE),ODLSM,,,
Petrpulc,Petrophile pulchella (PROTE),ODLCM,,,
Phebdios,Phebalium diosmeum (RUT),ODLSM,,,
Phraaust,Phragmites australis (PO),RIWNM,,,
Pimelini,Pimelea linifolia ssp. linifolia (THYMELAE),ODLSM,,,
Plinpara,Plinthanthesis paradoxa (PO),RCLSG,,,
Prasaust,Prasophyllum australe (ORCHID),RDLNM,,,
Prasbrev,Prasophyllum brevilabre (ORCHID),RDLNM,,,
Prosline,Prostanthera linearis (LAMI),ODLSM,,,
Pseuorie,Pseudanthus orientalis (EUPHORBI),ODLSM,,,
Pterescu,Pteridium esculentum (DENNSTAEDTI),RIWNM,,,
Pterparv,Pterostylis parviflora (ORCHID),RDLNG,,,
Ptildeus,Ptilanthelium deustum (CYPER),RCLSG,,,
Pultaris,Pultenaea aristata (FAB),ODLSM,,,
Pultdiva,Pultenaea divaricata (FAB),RDLSM,,,
Pultelli,Pultenaea elliptica (FAB),RDLSM,,,
Restcomp,Restio companatus (RESTION),RILSM,,,
Restfast,Restio fastigiatus (RESTION),RILSM,,,
Restgrac,Restio gracilis (RESTION),RILSM,,,
