species,a_BW,b_BW,c_BW,d_BW,v_BW,a_G,v_G
Poranthera ericifolia,1,,,,1,,
Hemigenia purpurea,,2,,,2,,
Actinotus helianthi,,,,2(3),1,2(4),2
Actinotus minor,2,,,3,1,,
Mitrasacme polymorpha,3,2,,2,1,,
Gonocarpus teucrioides,2,,4,,2,,
Bossiaea heterophylla,,,,3,2,,
Cryptandra ericoides,,3,,,3,,
Hibbertia cistiflora,,3,,,1,,
Tetratheca ericifolia,3,,,3,1,,
Tetratheca shiressii,3,4,,,3,,
Platysace linearifolia,3,,,3(4),2,3(4),3
Woollsia pungens,,,,3(5),2,,
Conospermum taxifolium,,4,,,1,,
Eriostemon australasius,,,,4,1,,
Goodenia bellidifolia,,,,4,1,,
Grevillea speciosa,,4,,,1,,
Hibbertia monogyna,,4,,,2,,
Pimelea linifolia,,,4,,1,,
Boronia ledifolia,4,,,5,1,,
Leucopogon microphyllus,4,5,,,2,,
Gompholobium grandiflorum,4,,,6,4,,
Grevillea sericea,4,,4(6),,3,,
Eriostemon buxifolius,,,5(5),5,1,4(6),4
Acacia suaveolens,,,,5,*2,4,4
Boronia serrulata,,,,5,1,,
Dillwynia retorta,,5,,,1,,
Philotheca salsolifolia,,5,,,2,,
Acacia hispida,,,,,,5,3
Xanthosia tridentata,,,6,,1,,
Epacris pulchella,,6,,,4,,
Hakea teretifolia,6,6(6),,7,2,,
Petrophile pulchella,,6,,9,2,8(9),5
Banksia ericifolia,8,8,,7,2,,
Grevillea buxifolia,,,,,,8,6
Banksia oblongifolia,no flowering yet,no flowering yet,no flowering yet,no flowering yet,,,
Banksia serrata,no flowering yet,no flowering yet,no flowering yet,no flowering yet,,,
