trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Acacia baueri subsp. baueri,7060,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Acacia burbidgeae,3725,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia buxifolia,3727,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Post-fire abundance increase (P)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia granitica,3784,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia hispidula,3790,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""II-100? (inferred from morphology)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Acacia lanigera,3806,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Acacia latisepala,3807,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia longifolia subsp. longifolia,10790,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Keith 1991,surv1 logic
surv1,Acacia macnuttiana,3820,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Mortality 75% (100)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia pruinosa,3858,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia pubifolia,9405,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Mortality >85% (105)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Acacia suaveolens,3881,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""Mortality >85% (105)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Acacia torringtonensis,3888,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia ulicifolia,3893,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6), Some populations (Nullo Mt, Lithgow) resprout or root sucker (1), Variable (39), Some resprouting after low-intensity fire (105)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Acacia venulosa,8865,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia viscidula,3899,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Acacia williamsiana,10796,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is SR""}","{""II-100? (inferred from morphology)""}",None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Actinotus minor,1095,NSWFFRDv2.1,"{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""May resprout after low intensity fire (1)""}",None,NA,NA,NA,Benson 1985,surv1 logic
surv1,Adrastaea salicifolia,2525,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Agiortia pedicellata,12011,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Agiortia pedicellata,12011,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Allocasuarina littoralis,2012,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Resprouting may be age dependant, with older plants killed; May become dominant in long unburnt communities (1); Variable (39); 45% resprouting after modearte intensity fire (92); Has no protected vegetative buds or insulated bark; Mortality 10""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Allocasuarina paludosa,2015,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Amperea xiphoclada var. xiphoclada,9713,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}","{""Killed at 1 of 2 sites - NB sampled within 6 months of fire (105)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Aotus ericoides,2770,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Aotus ericoides,2770,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}",All,NA,NA,NA,Keith 1991,surv1 logic
