"row_number","trait_code","species","species_code","main_source","original_sources","raw_value","original_notes","norm_value","best","upper","lower","sources"
14944,"surv1","Acacia baueri subsp. baueri","7060","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
15050,"surv1","Acacia burbidgeae","3725","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
15101,"surv1","Acacia buxifolia","3727","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Post-fire abundance increase (P)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
15492,"surv1","Acacia granitica","3784","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
15680,"surv1","Acacia lanigera","3806","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
15724,"surv1","Acacia latisepala","3807","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
15797,"surv1","Acacia longifolia subsp. longifolia","10790","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Keith 1991"
15859,"surv1","Acacia macnuttiana","3820","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Mortality 75% (100)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
16426,"surv1","Acacia pruinosa","3858","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Clarke Fulloon 1999"
16470,"surv1","Acacia pubifolia","9405","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
16640,"surv1","Acacia suaveolens","3881","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Mortality >85% (105)""}","None",NA,NA,NA,"Benwell 1998"
16819,"surv1","Acacia torringtonensis","3888","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
16866,"surv1","Acacia ulicifolia","3893","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable fire response (6), Some populations (Nullo Mt, Lithgow) resprout or root sucker (1), Variable (39), Some resprouting after low-intensity fire (105)""}","All",NA,NA,NA,"Benwell 1998"
16925,"surv1","Acacia venulosa","8865","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
17031,"surv1","Acacia viscidula","3899","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
17073,"surv1","Acacia williamsiana","10796","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group VIII"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is SR""}","{""II-100? (inferred from morphology)""}","None",NA,NA,NA,"Clarke Fulloon 1999"
17451,"surv1","Actinotus minor","1095","NSWFFRDv2.1","{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}","{""May resprout after low intensity fire (1)""}","None",NA,NA,NA,"Benson 1985"
17513,"surv1","Adrastaea salicifolia","2525","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
17525,"surv1","Agiortia pedicellata","12011","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
17526,"surv1","Agiortia pedicellata","12011","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
17799,"surv1","Allocasuarina littoralis","2012","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Resprouting may be age dependant, with older plants killed; May become dominant in long unburnt communities (1); Variable (39); 45% resprouting after modearte intensity fire (92); Has no protected vegetative buds or insulated bark; Mortality 10""}","All",NA,NA,NA,"Benwell 1998"
17872,"surv1","Allocasuarina paludosa","2015","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
18154,"surv1","Amperea xiphoclada var. xiphoclada","9713","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 11"",""Survives 100% scorch: obligate resprouters"",""Overall value of fireresponse column is R""}","{""Killed at 1 of 2 sites - NB sampled within 6 months of fire (105)""}","All",NA,NA,NA,"Benwell 1998"
19530,"surv1","Aotus ericoides","2770","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Benwell 1998"
19540,"surv1","Aotus ericoides","2770","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable (39)""}","All",NA,NA,NA,"Keith 1991"
19551,"surv1","Aotus lanigera","2771","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
19695,"surv1","Aristida warburgii","4774","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
19848,"surv1","Astroloma pinifolium","2585","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
20071,"surv1","Babingtonia odontocalyx","9817","NSWFFRDv2.1","{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Clarke Fulloon 1999"
20093,"surv1","Baeckea frutescens","9835","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20094,"surv1","Baeckea frutescens","9835","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20120,"surv1","Baeckea imbricata","3995","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""May be killed by high intensity fire (1)""}","All",NA,NA,NA,"Benwell 1998"
20121,"surv1","Baeckea imbricata","3995","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""May be killed by high intensity fire (1)""}","All",NA,NA,NA,"Keith 1991"
20148,"surv1","Baeckea linifolia","3997","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20186,"surv1","Baloskion gracile","10607","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}",NA,"All",NA,NA,NA,"Keith 1991"
20192,"surv1","Baloskion pallens","10609","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20194,"surv1","Baloskion pallens","10609","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IV"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20231,"surv1","Banksia aemula","5339","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20233,"surv1","Banksia aemula","5339","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20270,"surv1","Banksia ericifolia subsp. ericifolia","11049","NSWFFRDv2.1","{""Benson 1985""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}","None",NA,NA,NA,"Benson 1985"
20271,"surv1","Banksia ericifolia subsp. ericifolia","11049","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}","None",NA,NA,NA,"Benwell 1998"
20273,"surv1","Banksia ericifolia subsp. ericifolia","11049","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}","{""Resprouting population in Jervis Bay; Mortality generally >85%, 1 site mortality 60-85%, some resprouters at Jervis Bay (105)""}","None",NA,NA,NA,"Keith 1991"
20287,"surv1","Banksia ericifolia subsp. macrantha","11050","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group I"",""Killed by 100% scorch; seed storage on plant"",""Overall value of fireresponse column is S""}",NA,"None",NA,NA,NA,"Benwell 1998"
20395,"surv1","Banksia oblongifolia","5345","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20397,"surv1","Banksia oblongifolia","5345","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20430,"surv1","Banksia paludosa","5346","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}","{""Mortality <10% (105)""}","All",NA,NA,NA,"Keith 1991"
20445,"surv1","Banksia robur","5347","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20546,"surv1","Bauera microphylla","7219","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20572,"surv1","Bauera rubioides","2268","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""May be killed by high intensity fire (1), Variable (39); Post-fire abundance increase (61)""}","All",NA,NA,NA,"Benwell 1998"
20586,"surv1","Baumea acuta","2294","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20592,"surv1","Baumea gunnii","2297","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20619,"surv1","Baumea muelleri","2300","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20620,"surv1","Baumea muelleri","2300","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
20624,"surv1","Baumea rubiginosa","2302","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20646,"surv1","Baumea teretifolia","2303","NSWFFRDv2.1","{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Keith 1991"
20781,"surv1","Blandfordia nobilis","3529","NSWFFRDv2.1","{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,"All",NA,NA,NA,"Benwell 1998"
