row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
16531,surv1,Acacia rubida,3869,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is Sr""}",NA,None,NA,NA,NA,Keith 1991,different ingest rules given
34006,surv1,Hakea teretifolia,5427,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Sr""}","{""Variable (39), Some populations in Sydney region produce lignotubers, not know if this relates to a particular subspecies (24); Mortality >85% (105)""}",All,NA,NA,NA,Keith 1991,All survive scorch given - different to ingest rules
42991,surv1,Pimelea linifolia subsp. linifolia,6814,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S/R""}","{""Variable (39), 9CH (Vegetative response at 33% of sites; 78), Mortality >85% (105); V (134)""}",None,NA,NA,NA,Keith 1991,different ingest rules given
45278,surv1,Viminaria juncea,3105,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 8"",""Killed by 100% scorch; seed storage unknown"",""Overall value of fireresponse column is S""}",NA,None,NA,NA,NA,Keith 1991,different ingest rules given
94951,repr3,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Benson 1985"",""Kubiak 2009""}","{""Primary juvenile period"",""2 for first flowering 3-4 for 50% of population to flower (BE); 1 (138)""}",NA,NA,NA,NA,NA,Benson 1985,this is an NA record
94953,repr3,Actinotus minor,1095,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""2-3 (BE)""}",NA,NA,NA,3,2,Benson 1985,combined two sites in one paper - is this how we want to do?
95054,repr3,Boronia ledifolia,5744,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",4-5}","{""Cell color index 12""}",NA,NA,5,4,Benson 1985,combined two sites in one paper - is this how we want to do?
95316,repr3,Gompholobium grandiflorum,2865,NSWFFRDv2.1,"{""Keith David pers. comm."",""Benson 1985""}","{""Primary juvenile period"",4-6}","{""Cell color index 12""}",NA,NA,6,4,Benson 1985,combined two sites in one paper - is this how we want to do?
95330,repr3,Gonocarpus teucrioides,3248,NSWFFRDv2.1,"{""Keith David pers. comm."",""Department Natural Resources Environment "",""Benson 1985""}","{""Primary juvenile period"",2-4}","{""Cell color index 12""}",NA,NA,4,2,Benson 1985,combined two sites in one paper - is this how we want to do?
95344,repr3,Grevillea beadleana,8293,NSWFFRDv2.1,"{""Watts Greg. pers. comm."",""Benson 1992"",""Clarke Fulloon 1999"",""RP Grevillea beadleana""}","{""Primary juvenile period"",2-5}","{""Cell color index 12""}",NA,NA,5,2,Clarke Fulloon 1999,incorrect record (source states 3-5)
95358,repr3,Grevillea sericea,5399,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""4 for first flowering 6 for 50% of population to flower (BE)""}",NA,NA,NA,NA,NA,Benson 1985,this is an NA record
95361,repr3,Grevillea speciosa,5401,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""4 for first flowering (BE)""}",NA,NA,NA,NA,NA,Benson 1985,this is an NA record
95376,repr3,Hakea teretifolia,5427,NSWFFRDv2.1,"{""Benson 1985"",""Kubiak 2009""}","{""Primary juvenile period"",""6-7 for first flowering, 6 for 50% of population to flower (BE); 3-5 (138)""}",NA,NA,NA,NA,6,Benson 1985,put as best rather than lower
95468,repr3,Leucopogon microphyllus,2629,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",4-5}","{""Cell color index 12""}",NA,NA,5,4,Benson 1985,combined two sites in one paper - is this how we want to do?
95520,repr3,Mitrasacme polymorpha,3595,NSWFFRDv2.1,"{""Benson 1985"",""Keith David pers. comm."",""Harden 19901993"",""EcoGIS 2002""}","{""Primary juvenile period"",""2-3 for first flowering (BE), 3, 5 (9), sometimes flowers in first year (56), 60-85 % flowering at 6 months (105)""}",NA,NA,NA,NA,2,Benson 1985,put as best rather than lower
95598,repr3,Petrophile pulchella,5479,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""6-9 to first flowerng, 9 for 50% of population flowering (BE)""}",NA,NA,NA,NA,6,Benson 1985,put as best rather than lower
95605,repr3,Philotheca buxifolia,10577,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""4-5 for first flowering 5-6 for 50% of population flowering (BE)""}",NA,NA,NA,NA,4,Benson 1985,record also states (6) as 50% flowering so this 6 is included in updated record
95632,repr3,Platysace linearifolia,1145,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",""3 for first flowering, 4 for 50% of population to flower""}","{""Cell color index 12""}",NA,NA,NA,NA,Benson 1985,this is an NA record
95846,repr3,Woollsia pungens,2664,NSWFFRDv2.1,"{""Benson 1985""}","{""Primary juvenile period"",3-5}","{""Cell color index 12""}",NA,NA,5,3,Benson 1985,put best as 5 rather than upper
95852,repr3,Xanthosia tridentata,1163,NSWFFRDv2.1,"{""Keith David pers. comm."",""Benson 1985""}","{""Primary juvenile period"",5-6}","{""Cell color index 12""}",NA,NA,6,5,Benson 1985,does not match source
96779,repr4,Actinotus helianthi,1094,NSWFFRDv2.1,"{""Benson 1985""}","{""Prim Juv period - 3-4 for 50% of population to flower (BE)""}","{""Data entry by"",""Renee Woodward""}",NA,4,NA,3,Benson 1985,does not match source figure
96796,repr4,Platysace linearifolia,1145,NSWFFRDv2.1,"{""Benson 1985""}","{""Prim Juv period - 4 for 50% of population to flower""}","{""Data entry by"",""Renee Woodward""}",NA,4,NA,NA,Benson 1985,does not match source figure
97470,surv5,Grevillea beadleana,8293,NSWFFRDv2.1,"{""Watts Greg. pers. comm."",""Benson 1992"",""Clarke Fulloon 1999""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20,Clarke Fulloon 1999,source states 20 years
