row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
96801,surv5,Abutilon oxycarpum,3632,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",4-10}","{""Cell color index 12""}",NA,NA,10,4
96802,surv5,Acacia baileyana,3710,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-30}","{""Cell color index 12""}",NA,NA,30,20
96803,surv5,Acacia binervata,3716,NSWFFRDv2.1,NA,"{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96804,surv5,Acacia binervia,3717,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50-100}","{""Cell color index 12""}",NA,NA,100,50
96805,surv5,Acacia bulgaensis,8601,NSWFFRDv2.1,NA,"{""Life span"",""c. 20-40""}",NA,NA,NA,40,NA
96806,surv5,Acacia constablei,3747,NSWFFRDv2.1,"{""RP Threatened Flora of Rocky Outcrops in South Eas""}","{""Life span"",short?}","{""Cell color index 12"",uncertain}",NA,NA,NA,NA
96807,surv5,Acacia dealbata,3758,NSWFFRDv2.1,"{""Watts Greg. pers. comm.""}","{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96808,surv5,Acacia decurrens,3762,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",15-30}","{""Cell color index 12""}",NA,NA,30,15
96809,surv5,Acacia elata,3768,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",50?}","{""Cell color index 12"",uncertain}",NA,50,NA,NA
96810,surv5,Acacia falcata,3771,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",5-20}","{""Cell color index 12""}",NA,NA,20,5
96811,surv5,Acacia floribunda,3777,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
96812,surv5,Acacia fulva,3780,NSWFFRDv2.1,"{""Maryott-Brown Wilks 1993""}","{""Life span"",""c. 20-30""}","{""Cell color index 12""}",NA,NA,30,NA
96813,surv5,Acacia georgensis,3782,NSWFFRDv2.1,"{""RP Threatened Flora of Rocky Outcrops in South Eas""}","{""Life span"",long}","{""Cell color index 12""}",NA,NA,NA,NA
96814,surv5,Acacia hispidula,3790,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",<10}","{""Cell color index 12""}",NA,NA,10,NA
96815,surv5,Acacia implexa,3792,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",<50?}","{""Cell color index 12"",uncertain}",NA,NA,50,NA
96816,surv5,Acacia irrorata subsp. irrorata,6472,NSWFFRDv2.1,"{""Watts Greg. pers. comm.""}","{""Life span"",20}","{""Cell color index 12""}",NA,20,NA,NA
96817,surv5,Acacia kulnurensis,9983,NSWFFRDv2.1,NA,"{""Life span"",""c. 15-25""}",NA,NA,NA,25,NA
96818,surv5,Acacia latisepala,3807,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""Life span"",>10}","{""Cell color index 12""}",NA,NA,NA,10
