species,longevity,primary_juvenile_period,flowering_period,dispersal,notes
Acacia brunioides subsp. granitica,NA,-,August - September,? ants,NA
Acacia burbidgeae,NA,-,June - September,ants,NA
Acacia latisepala,>10 years,2,September - December,? ants,primary juvenile period: flowers end of second year; flowering period: spring to early summer
Acacia macnuttiana,NA,-,November,-,flowering period: late winter
Acacia pubifolia,NA,-,September - October,-,NA
Acacia williamsiana,NA,-,September - October,-,NA
Almaleea cambagei,NA,-,September -  February,"? ants, ? water",flowering period: spring to summer
Babingtonia odontocalyx,> 10,-,December - February,? wind,longevity: possibly > 10 years; flowering period: summer
Boronia granitica,-,-,September -  February,-,flowering period: spring to summer
Brachyloma saxicola,> 20 years,2-3 years,September -  February,"? birds, ? ants",flowering period: spring to summer
Callistemon pungens,-,-,December - February,wind,flowering period: summer; dispersal: passive wind dispersal
Cryptandra lanosiflora,-,-,September -  February,-,flowering period: spring to summer
Derwentia arenaria,-,-,September - March,-,flowering period: spring to early autumn
Dodonaea hirsuta,-,-,December - February,wind,flowering period: summer
Eucalyptus caleyi subsp. ovendenii,-,-,-,wind,NA
Eucalyptus mckieana,-,-,March - May,wind,NA
Eucalyptus youmanii,-,-,-,wind,NA
Grevillea beadleana,20,3-5 years,"September - November, March - May",-,flowering period: spring and autumn
Hakea macrorrhyncha,< 20 years,-,September - November,wind,"longevity: not known, possibly <20 years; flowering period: spring"
Hibbertia sp. B,-,-,December - February,? ants,"flowering period: mainly summer, dispersal: secondary dispersal possibly by ants"
Homoranthus lunatus,-,-,November - February,-,flowering period: late spring to summer
Homoranthus sp. [Homoranthus sp. nov. 'Torrington'],-,-,November - December,passive,NA
Kunzea bracteolata,-,-,September - December,-,flowering period: spring to early summer
Leucopogon confertus,-,-,-,-,NA
Macrozamia plurinervia,-,-,-,-,NA
Monotaxis macrophylla,-,< 1 year,December - February,? wind,flowering period: summer
Olearia gravis,-,< 2 years,August - November,wind,primary juvenile period: within two years in cultivation
Persoonia terminalis subsp. terminalis,-,-,September -  February,? vertebrates,"flowering period: spring to summer; dispersal: not known, possibly vertebrates"
Phebalium ambiens,-,-,September - November,-,flowering period: spring
Phebalium glandulosum subsp. eglandulosum,-,-,September - November,-,flowering period: spring
Phebalium rotundifolium,-,-,September - November,-,flowering period: spring
Philotheca myoporoides subsp. epilosa,-,3 years,"September - November, March - May",-,flowering period: spring and autumn
Prostanthera staurophylla,< 10 years,-,September - November,-,longevity: possibly < 10 years; flowering period: spring
Pseudanthus ovalifolius,-,-,December - February,-,flowering period: summer
Pultenaea stuartiana,-,2 years,November - December,? ants,NA
Rutidosis heterogama,-,< 1 year,November - January,wind,primary juvenile period: posssibly within one year
Thelionema grande,-,-,September - November,? animal,flowering period: spring
