"sources","trait_code","species","norm_value","n_main","main_sources"
"Morgan 1999","surv1","Agrostis venusta","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Morgan 1999","surv1","Dichelachne crinita","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Morgan 1999","surv1","Pentapogon quadrifidus","All",2,"austraits-6.0.0, NSWFFRDv2.1"
"Morgan 1999","surv1","Themeda triandra","All",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Acacia buxifolia","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Acacia genistifolia","None",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Acacia gunnii","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Aira cupaniana","None",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Astrotricha ledifolia","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Billardiera scandens","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Briza minor","None",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Caladenia carnea","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Caladenia cucullata","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Cassytha pubescens","None",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Chondrilla juncea","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Chrysocephalum semipapposum","All",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Cirsium vulgare","None",2,"NSWFFRDv2.1, austraits-6.0.0"
"Purdie Slatyer 1976","surv1","Crassula sieberiana","None",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Cyanicula caerulea","All",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Cyperus sanguinolentus","None",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Daucus glochidiatus","None",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Daviesia mimosoides","All",2,"austraits-6.0.0, NSWFFRDv2.1"
"Purdie Slatyer 1976","surv1","Dianella revoluta","All",2,"austraits-6.0.0, NSWFFRDv2.1"
