species,fire_response
Acacia elongata,FS
Acacia linifolia,FS
Acacia longifolia,FS
Acacia longissima,FS
Acacia myrtifolia (1),FS
Acacia myrtifolia (2),FS
Acacia suaveolens (1),FS
Acacia suaveolens (2),FS
Acacia terminalis (1),FS
Acacia terminalis (2),FS
Acacia ulicifolia (1),FS;R?
Acacia ulicifolia (2),FS;R?
Aotus ericoides,R
Bossiaea heterophylla,FS;R?
Bossiaea obcordata,FS;R
Bossiaea rhombifolia,R?
Bossiaea stephensonii,R?
Daviesia alata,R?
Dillwynia brunioides,FS?
Dillwynia floribunda,FS
Dillwynia retorta,FS
Glycine clandestina,R
Gompholobium glabratum,R
Gompholobium grandiflorum,FS;R?
Gompholobium minus,R
Hardenbergia violacea,R
Kennedia rubicunda,R
Mirbelia platyloboides,R
Phyllota phylicoides,R
Platytobium formosum OR,R
Platytobium formosum BL,R
Pultenaea daphnoides,FS
Pultenaea flexilis,FS
Pultenaea glabra,FS
Pultenaea incurvata,FS
Pultenaea linophylla,FS
Pultenaea polifolia,FS
Pultenaea stipularis,FS
Sphaerolobium vimineum,FS;R?
Viminaria juncea,FS
