record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
157903,1094,Actinotus helianthi,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
163359,3467,Cassytha glabella,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
166751,2843,Dillwynia floribunda,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
177426,2629,Leucopogon microphyllus,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182816,3015,Pultenaea rosmarinifolia,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
166057,3174,Dampiera stricta,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
174811,5533,Hypolaena fastigiata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
174846,5533,Hypolaena fastigiata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
176728,2471,Lepidosperma neesii,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177244,5541,Lepyrodia scariosa,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
182686,8956,Ptilothrix deusta,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
159354,4749,Anisopogon avenaceus,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
165919,2347,Cyathochaeta diandra,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
168530,4947,Entolasia stricta,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
176602,8380,Lepidosperma concavum,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177798,6298,Lomandra cylindrica,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177830,6302,Lomandra filiformis,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177895,6304,Lomandra glauca,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
183234,2496,Schoenus imberbis,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
183258,2501,Schoenus moorei,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
184263,3219,Velleia spathulata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
160254,5345,Banksia oblongifolia,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
158462,3972,Angophora hispida,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
162618,3535,Caesia parviflora,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
173589,6435,Haemodorum corymbosum,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
180925,3303,Patersonia sericea,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
183570,3567,Sowerbaea juncea,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
183779,6159,Stylidium lineare,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
183965,6461,Thelionema umbellatum,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
184509,6321,Xanthorrhoea resinosa,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
174147,10863,Hibbertia empetrifolia subsp. empetrifolia,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
12611,2010,Allocasuarina distyla,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
14141,3174,Dampiera stricta,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15995,5533,Hypolaena fastigiata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16409,2471,Lepidosperma neesii,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16479,5541,Lepyrodia scariosa,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17082,1145,Platysace linearifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17162,8956,Ptilothrix deusta,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
12974,4749,Anisopogon avenaceus,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14119,2347,Cyathochaeta diandra,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14671,4947,Entolasia stricta,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16401,8380,Lepidosperma concavum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16544,6298,Lomandra cylindrica,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16548,6302,Lomandra filiformis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16554,6304,Lomandra glauca,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17240,2496,Schoenus imberbis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17333,6204,Tetratheca ericifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17377,3219,Velleia spathulata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13088,5345,Banksia oblongifolia,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
12656,3972,Angophora hispida,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
13530,3535,Caesia parviflora,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
15839,6435,Haemodorum corymbosum,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
17282,3567,Sowerbaea juncea,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
17305,6159,Stylidium lineare,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
17339,6461,Thelionema umbellatum,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
17346,3572,Thysanotus juncifolius,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
17404,6321,Xanthorrhoea resinosa,germ1,NSWFFRDv2.1,NA,Transient,NA,NA,NA,possible
15909,10863,Hibbertia empetrifolia subsp. empetrifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
