species,functional_group
Banksia ericifolia,serotinous_obligate_seeder
Allocasuarina distyla,serotinous_obligate_seeder
Acacia oxycedrus,serotinous_obligate_seeder
Acacia suaveolens,serotinous_obligate_seeder
Actinotus helianthi,serotinous_obligate_seeder
Actinotus minor,serotinous_obligate_seeder
Baeckea brevifolia,serotinous_obligate_seeder
Bossiaea scolopendria,serotinous_obligate_seeder
Cassytha glabella,serotinous_obligate_seeder
Caustis recurvata,serotinous_obligate_seeder
Conospermum taxifolium,serotinous_obligate_seeder
Darwinia fascicularis,serotinous_obligate_seeder
Dillwynia floribunda,serotinous_obligate_seeder
Eriostemon buxifolius,serotinous_obligate_seeder
Grevillea speciosa,serotinous_obligate_seeder
Hemigenia purpurea,serotinous_obligate_seeder
Hibbertia serpyllifolia,serotinous_obligate_seeder
Kunzea capitata,serotinous_obligate_seeder
Leucopogon ericoides,serotinous_obligate_seeder
Leucopogon microphyllus,serotinous_obligate_seeder
Mirbelia rubiifolia,serotinous_obligate_seeder
Mitrasacme polymorpha,serotinous_obligate_seeder
Phebalium squamulosum,serotinous_obligate_seeder
Philotheca salsolifolia,serotinous_obligate_seeder
Pimelea linifolia,serotinous_obligate_seeder
Pultenaea elliptica,serotinous_obligate_seeder
Pultenaea rosmarinifolia,serotinous_obligate_seeder
Tetratheca thymifolia,serotinous_obligate_seeder
Xanthosia tridentata,serotinous_obligate_seeder
Zieria laevigata,serotinous_obligate_seeder
Dampiera stricta,resprouter_soil_seedbank_vegetative_spread
Hypolaena fastigiata,resprouter_soil_seedbank_vegetative_spread
Lepidosperma neesii,resprouter_soil_seedbank_vegetative_spread
Lepyrodia scariosa,resprouter_soil_seedbank_vegetative_spread
Platysace linearifolia,resprouter_soil_seedbank_vegetative_spread
Ptilothrix deusta,resprouter_soil_seedbank_vegetative_spread
Anisopogon avenaceus,resprouter_soil_seedbank_no_vegetative_spread
Cyathochaeta diandra,resprouter_soil_seedbank_no_vegetative_spread
Entolasia stricta,resprouter_soil_seedbank_no_vegetative_spread
Goodenia bellidifolia,resprouter_soil_seedbank_no_vegetative_spread
Hibbertia empetrifolia,resprouter_soil_seedbank_no_vegetative_spread
Lepidosperma concavum,resprouter_soil_seedbank_no_vegetative_spread
Lomandra cylindrica,resprouter_soil_seedbank_no_vegetative_spread
Lomandra filiformis,resprouter_soil_seedbank_no_vegetative_spread
Lomandra glauca,resprouter_soil_seedbank_no_vegetative_spread
Schoenus imberbis,resprouter_soil_seedbank_no_vegetative_spread
Schoenus lepidosperma,resprouter_soil_seedbank_no_vegetative_spread
Schoenus moorei,resprouter_soil_seedbank_no_vegetative_spread
Tetratheca ericifolia,resprouter_soil_seedbank_no_vegetative_spread
Velleia spathulata,resprouter_soil_seedbank_no_vegetative_spread
Banksia oblongifolia,serotinous_resprouter
Angophora hispida,resprouter_transient_seedbank_no_vegetative_spread
Caesia parviflora,resprouter_transient_seedbank_no_vegetative_spread
Drosera peltata,resprouter_transient_seedbank_no_vegetative_spread
Drosera pygmaea,resprouter_transient_seedbank_no_vegetative_spread
Haemodorum corymbosum,resprouter_transient_seedbank_no_vegetative_spread
Patersonia sericea,resprouter_transient_seedbank_no_vegetative_spread
Sowerbaea juncea,resprouter_transient_seedbank_no_vegetative_spread
Stylidium lineare,resprouter_transient_seedbank_no_vegetative_spread
Thelionema umbellatum,resprouter_transient_seedbank_no_vegetative_spread
Thysanotus juncifolius,resprouter_transient_seedbank_no_vegetative_spread
Xanthorrhoea resinifera,resprouter_transient_seedbank_no_vegetative_spread
