Family,Taxon,Habitat,Fire response,Seedlings
Araliaceae,Astrotricha longifolia s.l.,Shrubby open forest,Resprouts*,
Araliaceae,Polyscias sambucifolia,Shrubby open forest,Resprouts,N
Asteraceae,Cassinia laevis,Grassy open forest,Obligate seeder,N
Asteraceae,Cassinia leptocephala,Grassy open forest,Obligate seeder,N
Asteraceae,Cassinia quinquefaria,Shrubby open forest/grassy open forest,Obligate seeder,N
Asteraceae,Olearia myrsinoides,Shrubby open forest/grassy open forest,Resprouts,N
Asteraceae,Olearia rosmarinifolia,Grassy open forest,Resprouts*,
Asteraceae,Olearia sp. aff. elliptica,Shrubby open forest/grassy open forest,Resprouts,N
Asteraceae,Olearia viscidula,Grassy open forest,Resprouts,N
Asteraceae,Ozothamnus adnatus,Grassy open forest,Resprouts,
Asteraceae,Ozothamnus diosmifolius,Shrubby open forest/grassy open forest,Resprouts,N
Asteraceae,Ozothamnus obcordatus,Rocky outcrop,Obligate seeder,Y
Asteraceae,Ozothamnus obcordatus (grassy ecotype),Grassy open forest,Resprouts,N
Casuarinaceae,Allocasuarina brachystachya,Rocky outcrop,Obligate seeder*,
Casuarinaceae,Allocasuarina rigida ssp. rigida,Rocky outcrop,Obligate seeder*,
Celastraceae,Maytenus silvestris,Shrubby open forest,Resprouts,
Chloanthaceae,Chloanthes parviflora,Rocky outcrop,Obligate seeder,Y
Cupressaceae,Callitris oblonga ssp. parva,Shrubby open forest,Obligate seeder,Y
Dilleneaceae,Hibbertia acicularis,Wet heath/rocky outcrops,Resprouts,N
Dilleneaceae,Hibbertia cistoidea,Shrubby open forest,Resprouts,N
Dilleneaceae,Hibbertia linearis,Grassy open forest,Resprouts,N
Dilleneaceae,Hibbertia obtusifolia,Shrubby open forest/grassy open forest,Resprouts,N
Dilleneaceae,Hibbertia riparia,Wet heath/shrubby open forest,Resprouts,N
Dilleneaceae,Hibbertia riparia (stellate hairs ecotype),Grassy open forest,Resprouts,N
Dilleneaceae,Hibbertia serpyllifolia,Shrubby open forest,Resprouts,N
Dilleneaceae,Hibbertia sp. B (outcrop ecotype),Rocky outcrop,Obligate seeder*,Y
Dilleneaceae,Hibbertia vestita,Wet heath,Resprouts,N
Epacridaceae,Acrotriche aggregata,Shrubby open forest,Resprouts,N
Epacridaceae,Brachyloma daphnoides ssp. glabrum,Shrubby open forest,Resprouts,N
Epacridaceae,Brachyloma saxicola,Rocky outcrop,Obligate seeder,Y
Epacridaceae,Epacris breviflora,Wet heath,Resprouts,
Epacridaceae,Epacris microphylla,Shrubby open forest/wet heath,Resprouts,N
Epacridaceae,Epacris obtusifolia,Wet heath,Obligate seeder,Y
Epacridaceae,Leucopogon attenuatus,Shrubby open forest,Resprouts,N
Epacridaceae,Leucopogon biflorus,Shrubby open forest/rocky outcrop,Obligate seeder,N
Epacridaceae,Leucopogon hookeri,Grassy open forest,Resprouts,N
Epacridaceae,Leucopogon lanceolatus var. lanceolatus,Shrubby open forest/grassy open forest,Resprouts,N
Epacridaceae,Leucopogon melaleucoides,Shrubby open forest,Resprouts,N
Epacridaceae,Leucopogon microphyllus var. pilibundus,Shrubby open forest/rocky outcrops,Variable,N
Epacridaceae,Leucopogon muticus,Shrubby open forest/rocky outcrops,Obligate seeder,
Epacridaceae,Leucopogon neo-anglicus,Rocky outcrop/shrubby open forest,Obligate seeder,Y
Epacridaceae,Leucopogon virgatus,Shrubby open forest,Resprouts,
Epacridaceae,Lissanthe strigosa,Shrubby open forest/grassy open forest,Resprouts,N
Epacridaceae,Melichrus erubescens,Shrubby open forest,Obligate seeder,
Epacridaceae,Melichrus procumbens,Shrubby open forest,Resprouts,N
Epacridaceae,Melichrus urceolatus,Shrubby open forest/grassy open forest,Resprouts,N
Epacridaceae,Monotoca scoparia,Shrubby open forest/grassy open forest,Resprouts,N
Epacridaceae,Sprengelia incarnata,Wet heath,Obligate seeder,Y
Epacridaceae,Styphelia triflora,Shrubby open forest,Obligate seeder,N
Euphorbiaceae,Amperea xiphoclada var. xiphoclada,Shrubby open forest,Resprouts,N
Fabaceae,Acacia betchei,Shrubby open forest,Obligate seeder,S
Fabaceae,Acacia burbidgeae,Shrubby open forest,Obligate seeder,S
Fabaceae,Acacia buxifolia ssp. pubiflora,Shrubby open forest,Resprouts,N
Fabaceae,Acacia dealbata,Grassy open forest,Obligate seeder,N
Fabaceae,Acacia falciformis,Shrubby open forest,Resprouts,Y
Fabaceae,Acacia filicifolia,Grassy open forest,Resprouts/variable,N
Fabaceae,Acacia fimbriata,Grassy open forest/shrubby open forest,Obligate seeder,Y
Fabaceae,Acacia granitica,Rocky outcrop,Obligate seeder,Y
Fabaceae,Acacia gunnii,Shrubby open forest/grassy open forest,Resprouts*,
Fabaceae,Acacia hispidula,Rocky outcrops,Obligate seeder*,
Fabaceae,Acacia implexa,Shrubby open forest/grassy open forest,Resprouts,
Fabaceae,Acacia juncifolia,Shrubby open forest,Resprouts*,
