"record_id","species_code","species","trait_code","main_source","original_sources","norm_value","best","lower","upper","match_type"
178229,"10531","Macrozamia plurinervia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
175500,"10724","Leionema ambiens","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
175540,"10736","Leionema rotundifolium","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
157700,"10796","Acacia williamsiana","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
173691,"10803","Hakea laevipes subsp. graniticola","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
160182,"10817","Banksia integrifolia subsp. monticola","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
172196,"10967","Grevillea juniperina subsp. allojohnsonii","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
173531,"10985","Grevillea viridiflava","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
162590,"11018","Bursaria spinosa subsp. spinosa","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
159441,"11046","Aotus subglauca var. subglauca","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174495,"11251","Homoranthus binghiensis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
174531,"11619","Hovea apiculata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
157828,"11966","Acrothamnus hookeri","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"partial"
181525,"12004","Philotheca epilosa","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
159753,"1205","Astrotricha longifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
182293,"1211","Polyscias sambucifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174537,"12176","Hovea graniticola","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
183661,"12323","Spyridium scortechinii","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
173955,"13289","Harmogia densifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
163299,"1367","Cassinia laevis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
163329,"1370","Cassinia quinquefaria","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
160248,"14554","Banksia neoanglica","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
180330,"1604","Olearia myrsinoides","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
180382,"1612","Olearia rosmarinifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
180428,"1618","Olearia viscidula","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174061,"2526","Hibbertia acicularis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174115,"2531","Hibbertia cistoidea","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174214,"2539","Hibbertia linearis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174259,"2542","Hibbertia obtusifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174311,"2545","Hibbertia riparia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174371,"2550","Hibbertia serpyllifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174399,"2551","Hibbertia vestita","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
157847,"2580","Acrotriche aggregata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
168560,"2591","Epacris breviflora","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
168696,"2602","Epacris obtusifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
177296,"2613","Leucopogon biflorus","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"partial"
177422,"2628","Leucopogon melaleucoides","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
177468,"2630","Leucopogon muticus","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
177474,"2631","Leucopogon neo-anglicus","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
177564,"2639","Leucopogon virgatus","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
178640,"2644","Melichrus erubescens","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
178654,"2645","Melichrus procumbens","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
178666,"2646","Melichrus urceolatus","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
179983,"2649","Monotoca scoparia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
183642,"2654","Sprengelia incarnata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
183812,"2660","Styphelia triflora","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
160983,"2783","Bossiaea neo-anglica","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
160996,"2784","Bossiaea obcordata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
161055,"2790","Bossiaea scortechinii","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
166198,"2816","Daviesia acicularis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
166243,"2822","Daviesia genistifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
166255,"2823","Daviesia latifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","Most",NA,NA,NA,"exact"
166327,"2827","Daviesia ulicifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
166340,"2828","Daviesia umbellulata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
166948,"2851","Dillwynia sericea","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
173937,"2873","Hardenbergia violacea","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174586,"2876","Hovea linearis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
174946,"2882","Indigofera australis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
175092,"2892","Jacksonia scoparia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
179789,"2937","Mirbelia pungens","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
179823,"2938","Mirbelia rubiifolia","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
181905,"2958","Phyllota phylicoides","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
182759,"2994","Pultenaea foliolosa","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
182781,"3003","Pultenaea microphylla","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
182808,"3013","Pultenaea pycnocephala","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
182505,"3429","Prostanthera saxicola","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
182510,"3430","Prostanthera scutellarioides","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
156518,"3715","Acacia betchei","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
156576,"3725","Acacia burbidgeae","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
156684,"3758","Acacia dealbata","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","None",NA,NA,NA,"exact"
156750,"3772","Acacia falciformis","surv1","NSWFFRDv2.1","{""Clarke Knox 2002""}","All",NA,NA,NA,"exact"
