"record_id","species_code","species","trait_code","main_source","original_sources","norm_value","best","lower","upper","match_type"
178227,"10531","Macrozamia plurinervia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
175496,"10724","Leionema ambiens","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
175536,"10736","Leionema rotundifolium","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
173689,"10803","Hakea laevipes subsp. graniticola","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
172194,"10967","Grevillea juniperina subsp. allojohnsonii","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
173529,"10985","Grevillea viridiflava","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
162584,"11018","Bursaria spinosa subsp. spinosa","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
159437,"11046","Aotus subglauca var. subglauca","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
174493,"11251","Homoranthus binghiensis","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
174529,"11619","Hovea apiculata","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
181517,"12004","Philotheca epilosa","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
181521,"12004","Philotheca epilosa","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
159745,"1205","Astrotricha longifolia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
174535,"12176","Hovea graniticola","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
173957,"13289","Harmogia densifolia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
173959,"13289","Harmogia densifolia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
175180,"13291","Kardomia odontocalyx","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
163297,"1367","Cassinia laevis","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
163327,"1370","Cassinia quinquefaria","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
160242,"14554","Banksia neoanglica","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
160250,"14554","Banksia neoanglica","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
180326,"1604","Olearia myrsinoides","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
180380,"1612","Olearia rosmarinifolia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
180426,"1618","Olearia viscidula","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
