"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Macrozamia plurinervia","10531","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leionema ambiens","10724","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leionema rotundifolium","10736","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Acacia williamsiana","10796","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
"Hakea laevipes subsp. graniticola","10803","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Banksia integrifolia subsp. monticola","10817","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Grevillea juniperina subsp. allojohnsonii","10967","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Grevillea viridiflava","10985","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Bursaria spinosa subsp. spinosa","11018","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Aotus subglauca var. subglauca","11046","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Homoranthus binghiensis","11251","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Hovea apiculata","11619","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Acrothamnus hookeri","11966","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Philotheca epilosa","12004","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Astrotricha longifolia","1205","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Polyscias sambucifolia","1211","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hovea graniticola","12176","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Spyridium scortechinii","12323","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Harmogia densifolia","13289","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Kardomia odontocalyx","13291","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Zieria aspalathoides subsp. aspalathoides","13582","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Cassinia laevis","1367","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Cassinia leptocephala","1368","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Cassinia quinquefaria","1370","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Banksia neoanglica","14554","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Denhamia silvestris","14670","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Olearia myrsinoides","1604","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Olearia rosmarinifolia","1612","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts*","Inferred from morphology or sister taxa"
"Olearia viscidula","1618","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia acicularis","2526","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia cistoidea","2531","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia linearis","2539","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia obtusifolia","2542","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia riparia","2545","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia serpyllifolia","2550","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Hibbertia vestita","2551","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Acrotriche aggregata","2580","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Brachyloma daphnoides","2586","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Epacris breviflora","2591","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Epacris microphylla","2599","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Epacris obtusifolia","2602","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leucopogon attenuatus","2612","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leucopogon biflorus","2613","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leucopogon melaleucoides","2628","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Leucopogon muticus","2630","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leucopogon neoanglicus","2631","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Leucopogon virgatus","2639","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Lissanthe strigosa","2642","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Melichrus erubescens","2644","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Melichrus procumbens","2645","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Melichrus urceolatus","2646","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Monotoca scoparia","2649","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Sprengelia incarnata","2654","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Styphelia triflora","2660","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder",NA
"Bossiaea neo-anglica","2783","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Bossiaea obcordata","2784","Clarke Knox 2002","surv1","All",NA,NA,NA,"Fire response, Resprouts",NA
"Bossiaea rhombifolia","2787","Clarke Knox 2002","surv1","None",NA,NA,NA,"Fire response, Obligate seeder*","Inferred from morphology or sister taxa"
