species,RC,family
Athrotaxis cupressoides,1,Cupressaceae
Athrotaxis selaginoides,1,Cupressaceae
Diselma archeri,1,Cupressaceae
Microstrobos niphophilus,1,Podocarpaceae
Podocarpus lawrencii,1,Podocarpaceae
Nothofagus gunnii,1,Fagaceae
Nothofagus cunninghamii,3,Fagaceae
Orites milliganii,1,Proteaceae
Bellendena montana,2,Proteaceae
Orites acicularis,2,Proteaceae
Orites revoluta,3,Proteaceae
Cyathodes dealbata,2,Epacridaceae
Leucopogon milliganii,2,Epacridaceae
Richea scoparia,2,Epacridaceae
Richea pandanifolia,2,Epacridaceae
Cyathodes petiolaris,2,Epacridaceae
Pentachondra pumila,2,Epacridaceae
Trochocarpa cunninghamii,2,Epacridaceae
Lissanthe montana,2,Epacridaceae
Richea sprengelioides,3,Epacridaceae
Sprengelia incarnata,2,Epacridaceae
Monotoca empetrifolia,2,Epacridaceae
Abrotanella forsteroides,5,Asteraceae
Olearia algida,4,Asteraceae
Oleria ledifolia,4,Asteraceae
Helichrysum hookeri,4,Asteraceae
Helichrysum ledifolium,4,Asteraceae
Helichrysum backhousii,4,Asteraceae
Drimys lanceolata,2,Winteraceae
Pimelea sericea,2,Thymelaeaceae
Donatia novae-zelandiae,5,Donatiaceae
Bauera rubioides,4,Cunoniaceae
Coprosma nitida,2,Rubiaceae
Gaultheria hispida,4,Ericaceae
Hierochloe redolens,4,Poaceae
Danthonia spp.,4,Poaceae
Poa gunnii,5,Poaceae
Deyeuxia spp.,4,Poaceae
Hierochloe fraseri,4,Poaceae
Microlaena tasmanica,5,Poaceae
Agrostis spp.,4,Poaceae
Oreobolus pumilio,3,Cyperaceae
Oreobolus spp.,4,Cyperaceae
Carpha alpina,4,Cyperaceae
Oreobolus acutifolius,5,Cyperaceae
Oreobolus distichus,5,Cyperaceae
Schoenus calyptratus,4,Cyperaceae
Empodisma minus,3,Restionaceae
Milligania densiflora,5,Asteliaceae
Diplarrhena latifolia,5,Iridaceae
Campynema lineare,5,Campynemataceae
Astelia alpina,5,Asteliaceae
Luzula spp.,4,Juncaceae
Craspedia alpina,2,Asteraceae
Celmisia saxifraga,3,Asteraceae
Celmisia longifolia,2,Asteraceae
Abrotanella scapigera,5,Asteraceae
Senecio pectinatus,5,Asteraceae
Erigeron stellatus,4,Asteraceae
Ewartia meredithiae,4,Asteraceae
Ewartia planchoii,4,Asteraceae
Helichrysum milliganii,5,Asteraceae
Gnaphalium spp.,4,Asteraceae
Senecio leptocarpus,4,Asteraceae
Senecio gunnii,4,Asteraceae
Drosera arcturi,3,Droseraceae
Lycopodium fastigiatum,5,Lycopodiaceae
Diplaspis cordifolia,5,Apiaceae
Acaena montana,4,Rosaceae
Mitrasacme montana,4,Loganiaceae
Gonocarpus montanus,4,Haloragaceae
Gentianella diemensis,4,Gentianaceae
Acaena novae-zelandiae,4,Rosaceae
Histiopteris incisa,4,Pteridaceae
Anemone crassifolia,4,Ranunculaceae
Rubus gunnianus,5,Rosaceae
Epilobium spp.,4,Onagraceae
