species,fire_regen_syndrome
Lepyrodia interrupta,4
Banksia aemula,6
Xanthorrhoea fulva,7
Melaleuca nodosa,6
Epacris obtusifolia,2
Banksia oblongifolia,5
Dillwynia floribunda,2
Dillwynia retorta,2
Hypolaena fastigiata,4
Leptospermum liversidgei,5
Pseudanthus orientalis,5
Kunzea capitata,2
Darwinia leptantha,2
Leptospermum polygalifolium,5
Epacris pulchella,2
Leptospermum trinervium,6
Persoonia lanceolata,2
Empodisma minus,4
Gymnoschoenus sphaerocephalus,5
Bauera rubioides,5
Boronia pinnata,5
Xanthosida pilosa,5
Cassytha pubescens,2
Woollsia pungens,2
Bauera capitata,5
Cassytha glabella,2
Baeckea diosmifolia,5
Lepidosperma filiforme,5
Phyllota phylicoides,2
Leptocarpus tenax,4
Epacris microphylla,2
Bossiaea heterophylla,5
Boronia falcifolia,5
Xanthorrhoea glauca,7
Baumea muelleri,4
Melaleuca sieberi,6
Monotoca scoparia,5
Platysace linearifolia,5
Eriastemon australasius,2
Sprengelia sprengeloides,2
Restio compliantus,5
Ricinocarpos pinifolius,5
Leptospermum juniperinum,5
Dillwynia glaberrima,5
Sprengelia incarnata,2
Tetratheca ericifolia,5
Ptilotrix deusta,5
Ochrosperma lineare,5
Leucopogon ericoides,2
Lepyrodia scariosa,4
Brachyloma daphnoides,5
Acacia ulicifolia,2
Schoenus pachylepis,5
Leucopogon rodwayi,5
Hakea teretifolia,5
Leucopogon virgatus,5
Mirbelia rubiifolia,2
Leucopogon parviflorus,5
Pteridium esculentum,4
Bossiaea ensata,5
Philotheca salsolifolia,5
Schoenus brevifolius,4
Xyris juncea,5
Pimelea linifolia,5
Hibbertia obtusifolia,2
Platysace lanceolata,5
Selaginella uliginosa,4
Calytrix tetragona,5
Plinthanthesis paradoxa,5
Stylidium graminifolium,4
Drosera peltata,4
Eucalyptus resinifera,6
Burchardia umbellata,5
Entolasia stricta,4
Baeckea ramosissima,2
Melaleuca thymifolia,5
Hibbertia acicularis,2
Acacia longifolia,2
Aotus ericoides,5
Schoenus ericetorum,5
Callistemon citrinus,5
Gompholobium virgatum,2
Lomandra longifolia,5
Acacia quadrilateralis,5
Goodenia stelligera,5
Petroophile pulchella,2
Schoenus scrabipes,4
Acacia terminalis,2
Drosera spathulata,4
Zieria laevigata,2
Boronia parviflora,5
Eucalyptus gummifera,5
Leptomeria acida,2
Leucopogon lanceolatus,5
Lomandra fiiformis,5
Trachymene incisa,5
Adrastaea salicifolia,5
Olax stricta,5
Panicum simile,5
Xyris operculata,5
Acacia suaveolens,2
Baumea sp.,4
Gahnia sp.,4
Hibbertia fasciculata,2
Isopogon anemonifolius,5
Pultenaea daphnoides,2
Amperea xiphocalda,5
Chloanthes stoechadis,5
Chorizandra sphaerocephala,4
Coleocarya gracilis,4
Cyathochaeta diandra,4
Dianella caerulea,4
Gompholobium pinnatum,2
Mitrasacme polymorpha,2
Patersonia longifolia,5
Schoenus paludosus,4
Sowerbaea juncea,4
Stylidium debile,5
