record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
160103,5339,Banksia aemula,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
184474,8771,Xanthorrhoea fulva,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
178485,4258,Melaleuca nodosa,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
168690,2602,Epacris obtusifolia,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
160278,5345,Banksia oblongifolia,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
166778,2843,Dillwynia floribunda,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
174842,5533,Hypolaena fastigiata,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
177040,4224,Leptospermum liversidgei,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
182547,2756,Pseudanthus orientalis,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
175298,4207,Kunzea capitata,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
166155,4030,Darwinia leptantha,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
168724,2605,Epacris pulchella,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
177208,8486,Leptospermum trinervium,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
181136,5460,Persoonia lanceolata,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
168452,5532,Empodisma minus,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
173556,2445,Gymnoschoenus sphaerocephalus,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
160851,5750,Boronia pinnata,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
163435,3469,Cassytha pubescens,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
184443,2664,Woollsia pungens,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
160414,2267,Bauera capitata,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
163389,3467,Cassytha glabella,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
159963,3993,Baeckea diosmifolia,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
176652,2465,Lepidosperma filiforme,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
181902,2958,Phyllota phylicoides,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",None,NA,NA,NA,exact
176812,5534,Leptocarpus tenax,surv1,NSWFFRDv2.1,"{""Myerscough Clarke Skelton 1995""}",All,NA,NA,NA,exact
