record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
160093,5339,Banksia aemula,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
2990,5339,Banksia aemula,surv4,NSWFFRDv2.1,NA,Epicormic,NA,NA,NA,possible
184472,8771,Xanthorrhoea fulva,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
4215,8771,Xanthorrhoea fulva,surv4,NSWFFRDv2.1,NA,Apical,NA,NA,NA,possible
178473,4258,Melaleuca nodosa,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
3825,4258,Melaleuca nodosa,surv4,NSWFFRDv2.1,NA,Epicormic,NA,NA,NA,possible
14685,2602,Epacris obtusifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
160254,5345,Banksia oblongifolia,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
166751,2843,Dillwynia floribunda,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
14244,2843,Dillwynia floribunda,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
174811,5533,Hypolaena fastigiata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
174846,5533,Hypolaena fastigiata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177032,4224,Leptospermum liversidgei,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
3729,4224,Leptospermum liversidgei,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
16038,4207,Kunzea capitata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
166151,4030,Darwinia leptantha,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
14155,4030,Darwinia leptantha,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
168714,2605,Epacris pulchella,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
14689,2605,Epacris pulchella,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
177192,8486,Leptospermum trinervium,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
3744,8486,Leptospermum trinervium,surv4,NSWFFRDv2.1,NA,Epicormic,NA,NA,NA,possible
181123,5460,Persoonia lanceolata,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
181140,5460,Persoonia lanceolata,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
17011,5460,Persoonia lanceolata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
173543,2445,Gymnoschoenus sphaerocephalus,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
3604,2445,Gymnoschoenus sphaerocephalus,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
3009,2268,Bauera rubioides,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
3036,5750,Boronia pinnata,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
163413,3469,Cassytha pubescens,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
13636,3469,Cassytha pubescens,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17397,2664,Woollsia pungens,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
160408,2267,Bauera capitata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
3008,2267,Bauera capitata,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
163359,3467,Cassytha glabella,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
13634,3467,Cassytha glabella,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
159959,3993,Baeckea diosmifolia,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
2978,3993,Baeckea diosmifolia,surv4,NSWFFRDv2.1,NA,Basal,NA,NA,NA,possible
17061,2958,Phyllota phylicoides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
176794,5534,Leptocarpus tenax,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
