bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Banksia aemula,5339,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 6",NA
Banksia aemula,5339,Myerscough Clarke Skelton 1995,surv4,Epicormic,NA,NA,NA,"Fire regeneration syndrome, 6",NA
Xanthorrhoea fulva,8771,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 7",NA
Xanthorrhoea fulva,8771,Myerscough Clarke Skelton 1995,surv4,Apical,NA,NA,NA,"Fire regeneration syndrome, 7",NA
Melaleuca nodosa,4258,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 6",NA
Melaleuca nodosa,4258,Myerscough Clarke Skelton 1995,surv4,Epicormic,NA,NA,NA,"Fire regeneration syndrome, 6",NA
Epacris obtusifolia,2602,Myerscough Clarke Skelton 1995,surv1,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Epacris obtusifolia,2602,Myerscough Clarke Skelton 1995,surv4,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Epacris obtusifolia,2602,Myerscough Clarke Skelton 1995,germ1,Soil-persistent,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Banksia oblongifolia,5345,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Banksia oblongifolia,5345,Myerscough Clarke Skelton 1995,surv4,Basal,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Dillwynia floribunda,2843,Myerscough Clarke Skelton 1995,surv1,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Dillwynia floribunda,2843,Myerscough Clarke Skelton 1995,surv4,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Dillwynia floribunda,2843,Myerscough Clarke Skelton 1995,germ1,Soil-persistent,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Dillwynia retorta,2850,Myerscough Clarke Skelton 1995,surv1,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Dillwynia retorta,2850,Myerscough Clarke Skelton 1995,surv4,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Dillwynia retorta,2850,Myerscough Clarke Skelton 1995,germ1,Soil-persistent,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Hypolaena fastigiata,5533,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 4",NA
Hypolaena fastigiata,5533,Myerscough Clarke Skelton 1995,surv4,Long rhizome or root sucker,NA,NA,NA,"Fire regeneration syndrome, 4",NA
Leptospermum liversidgei,4224,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Leptospermum liversidgei,4224,Myerscough Clarke Skelton 1995,surv4,Basal,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Pseudanthus orientalis,2756,Myerscough Clarke Skelton 1995,surv1,All,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Pseudanthus orientalis,2756,Myerscough Clarke Skelton 1995,surv4,Basal,NA,NA,NA,"Fire regeneration syndrome, 5",NA
Kunzea capitata,4207,Myerscough Clarke Skelton 1995,surv1,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Kunzea capitata,4207,Myerscough Clarke Skelton 1995,surv4,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Kunzea capitata,4207,Myerscough Clarke Skelton 1995,germ1,Soil-persistent,NA,NA,NA,"Fire regeneration syndrome, 2",NA
Darwinia leptantha,4030,Myerscough Clarke Skelton 1995,surv1,None,NA,NA,NA,"Fire regeneration syndrome, 2",NA
