species,regrowth_class
Eucalyptus macrorhyncha F. Muell. ex Benth.,NGD
Eucalyptus mannifera Mudie subsp. maculosa (R. T. Baker) L. Johnson,NGD
Eucalyptus rossii R. T. Baker et H. G. Smith,NGD
Exocarpos cupressiformis Labill.,NGI
Acacia genistifolia Link.,FSD
Cassytha pubescens J. D. Sm. sens. lat.,FSD
Dillwynia retorta (Wendl.) Druce,FSD
Pimelea linifolia R. Br.,FSD
Acacia vomeriformis A. Cunn. ex Benth.,NGD
Astrotricha ledifolia,NGD
Billardiera scandens J. E. Sm.,NGD
Brachyloma daphnoides (J. E. Smith) Benth.,NGD
Danthonia pallida R. Br.,NGD
Dichelachne sciurea (R. Br.) J. D. Hook.,NGD
Grevillea aff. alpina Lindl.,NGD
Hardenbergia violacea (Schneev.) Stearn,NGD
Helichrysum colinum DC.,NGD
Hovea heterophylla A. Cunn. ex J. D. Hook.,NGD
Hypochoeris radicata L.,NGD
Leptospermum multicaule A. Cunn.,NGD
Leucopogon aff. fletcheri Maiden,NGD
Leucopogon virgatus,NGD
Melichrus urceolatus R. Br.,NGD
Monotoca scoparia (J. E. Smith) R. Br.,NGD
Poa sp.,NGD
Pultenaea procumbens Benth.,NGD
Stylidium graminifolium Swartz ex Willd.,NGD
Caladenia angustata Lindl.,GD
Caladenia caerulea R. Br.,GD
Caladenia carnea R. Br.,GD
Caladenia cucullata R. D. FitzG.,GD
Caladenia dilatata R. Br.,GD
Caladenia praecox Nicholls,GD
Diuris maculata complex,GD
Prasophyllum rufum,GD
Pterostylis parviflora R. Br.,GD
Thelymitra pauciflora R. Br.,GD
Thysanotus patersonii R. Br.,GD
Acacia buxifolia A. Cunn.,NGI
Acacia mearnsii De Wild.,NGI
Daviesia mimosoides R. Br.,NGI
Goodenia hederacea J. E. Sm.,NGI
Haloragis tetragyna (Labill.) J. D. Hook.,NGI
Helichrysum semipapposum (Labill.) DC.,NGI
Hibbertia calycina (DC.) N. A. Wakefield,NGI
Hibbertia obtusifolia DC.,NGI
Indigofera australis,NGI
Microlaena stipoides,NGI
Oxalis corniculata L. sens. lat.,NGI
Wahlenbergia sp.,NGI
Dianella revoluta (Thunb.) J. Britt.,GI
Lomandra filiformis,GI
Lomandra longifolia Labill.,GI
Lomandra multiflora (R. Br.) J. Britt.,GI
Aira capuciana Guss.,T
Cirsium vulgare (Savi) Ten.,T
Conyza floribunda H. B. K.,T
Crassula sieberana (Schult. f.) Druce,T
Daucus glochidiatus (Labill.) Fisch. et al.,T
Gnaphalium involucratum G. Forst.,T
Hypochoeris glabra L.,T
Poranthera microphylla Brongn.,T
Senecio quadridentatus Labill.,T
Sonchus asper (L.) Hill,T
Vulpia bromoides (L.) S. F. Gray,T
