"record_id","species_code","species","trait_code","main_source","original_sources","norm_value","best","lower","upper","match_type"
169446,"4120","Eucalyptus macrorhyncha","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
169748,"4172","Eucalyptus rossii","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
171052,"5860","Exocarpos cupressiformis","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
171054,"5860","Exocarpos cupressiformis","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
156803,"3781","Acacia genistifolia","surv1","NSWFFRDv2.1","{""Purdie 1977""}","None",NA,NA,NA,"exact"
156806,"3781","Acacia genistifolia","surv1","NSWFFRDv2.1","{""Purdie 1977""}","None",NA,NA,NA,"exact"
163429,"3469","Cassytha pubescens","surv1","NSWFFRDv2.1","{""Purdie 1977""}","None",NA,NA,NA,"exact"
181971,"6182","Pimelea linifolia","surv1","NSWFFRDv2.1","{""Purdie 1977""}","None",NA,NA,NA,"exact"
159739,"1203","Astrotricha ledifolia","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
160606,"4671","Billardiera scandens","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
173919,"2873","Hardenbergia violacea","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
177056,"4228","Leptospermum multicaule","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
177550,"2639","Leucopogon virgatus","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
178660,"2646","Melichrus urceolatus","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
179953,"2649","Monotoca scoparia","surv1","NSWFFRDv2.1","{""Purdie 1977""}","All",NA,NA,NA,"partial"
182802,"3012","Pultenaea procumbens","surv1","NSWFFRDv2.1","{""Purdie 1977""}","None",NA,NA,NA,"partial"
