"record_id","species_code","species","trait_code","main_source","original_sources","norm_value","best","lower","upper","match_type"
171046,"5860","Exocarpos cupressiformis","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3500,"5860","Exocarpos cupressiformis","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
156795,"3781","Acacia genistifolia","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
163413,"3469","Cassytha pubescens","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
3020,"4671","Billardiera scandens","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
173907,"2873","Hardenbergia violacea","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3614,"2873","Hardenbergia violacea","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
3652,"11015","Hovea heterophylla","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
3732,"4228","Leptospermum multicaule","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
3757,"2639","Leucopogon virgatus","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
178658,"2646","Melichrus urceolatus","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3841,"2646","Melichrus urceolatus","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
179931,"2649","Monotoca scoparia","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3858,"2649","Monotoca scoparia","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
183752,"6157","Stylidium graminifolium","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
162677,"4373","Caladenia carnea","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
162711,"4376","Caladenia cucullata","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
167050,"4447","Diuris maculata","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
3269,"4447","Diuris maculata","surv4","NSWFFRDv2.1",NA,"Tuber",NA,NA,NA,"possible"
182669,"4566","Pterostylis parviflora","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
184005,"4602","Thelymitra pauciflora","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
184062,"3573","Thysanotus patersonii","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
156585,"3727","Acacia buxifolia","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
2834,"3727","Acacia buxifolia","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
2854,"3823","Acacia mearnsii","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
3229,"2824","Daviesia mimosoides","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
3627,"2529","Hibbertia calycina","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
3637,"2542","Hibbertia obtusifolia","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
174924,"2882","Indigofera australis","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3668,"2882","Indigofera australis","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
180581,"4613","Oxalis corniculata","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3897,"4613","Oxalis corniculata","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
166544,"3542","Dianella revoluta","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
177830,"6302","Lomandra filiformis","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
177940,"6308","Lomandra longifolia","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
163885,"1400","Cirsium vulgare","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
166177,"1109","Daucus glochidiatus","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
183377,"1675","Senecio quadridentatus","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
184353,"5239","Vulpia bromoides","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
3248,"4898","Dichelachne micrantha","surv4","NSWFFRDv2.1",NA,"Basal",NA,NA,NA,"possible"
174784,"8788","Hypochaeris radicata","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
165883,"11228","Cyanicula caerulea","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
171728,"3247","Gonocarpus tetragynus","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3541,"3247","Gonocarpus tetragynus","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
163841,"8562","Chrysocephalum semipapposum","surv1","NSWFFRDv2.1",NA,"Most",NA,NA,NA,"possible"
3150,"8562","Chrysocephalum semipapposum","surv4","NSWFFRDv2.1",NA,"Long rhizome or root sucker",NA,NA,NA,"possible"
170872,"9904","Euchiton involucratus","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
174776,"1540","Hypochaeris glabra","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
171345,"9201","Genoplesium rufum","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
3521,"9201","Genoplesium rufum","surv4","NSWFFRDv2.1",NA,"Tuber",NA,NA,NA,"possible"
178005,"8802","Lomandra multiflora subsp. multiflora","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
