"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Eucalyptus macrorhyncha","4120","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus macrorhyncha","4120","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus macrorhyncha","4120","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus mannifera","4122","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus mannifera","4122","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus mannifera","4122","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus rossii","4172","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus rossii","4172","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Eucalyptus rossii","4172","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Exocarpos cupressiformis","5860","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGI",NA
"Exocarpos cupressiformis","5860","Purdie 1977","surv4","Long rhizome or root sucker",NA,NA,NA,"Regrowth class, NGI",NA
"Exocarpos cupressiformis","5860","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGI",NA
"Acacia genistifolia","3781","Purdie 1977","surv1","None",NA,NA,NA,"Regrowth class, FSD",NA
"Acacia genistifolia","3781","Purdie 1977","rect2","Intolerant",NA,NA,NA,"Regrowth class, FSD",NA
"Cassytha pubescens","3469","Purdie 1977","surv1","None",NA,NA,NA,"Regrowth class, FSD",NA
"Cassytha pubescens","3469","Purdie 1977","rect2","Intolerant",NA,NA,NA,"Regrowth class, FSD",NA
"Dillwynia retorta","2850","Purdie 1977","surv1","None",NA,NA,NA,"Regrowth class, FSD",NA
"Dillwynia retorta","2850","Purdie 1977","rect2","Intolerant",NA,NA,NA,"Regrowth class, FSD",NA
"Pimelea linifolia","6182","Purdie 1977","surv1","None",NA,NA,NA,"Regrowth class, FSD",NA
"Pimelea linifolia","6182","Purdie 1977","rect2","Intolerant",NA,NA,NA,"Regrowth class, FSD",NA
"Astrotricha ledifolia","1203","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Astrotricha ledifolia","1203","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Astrotricha ledifolia","1203","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Billardiera scandens","4671","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Billardiera scandens","4671","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Billardiera scandens","4671","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Brachyloma daphnoides","2586","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Brachyloma daphnoides","2586","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Brachyloma daphnoides","2586","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Hardenbergia violacea","2873","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Hardenbergia violacea","2873","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Hardenbergia violacea","2873","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Hovea heterophylla","11015","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Hovea heterophylla","11015","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Hovea heterophylla","11015","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Leptospermum multicaule","4228","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Leptospermum multicaule","4228","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Leptospermum multicaule","4228","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Leucopogon virgatus","2639","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Leucopogon virgatus","2639","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Leucopogon virgatus","2639","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Melichrus urceolatus","2646","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Melichrus urceolatus","2646","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Melichrus urceolatus","2646","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Monotoca scoparia","2649","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Monotoca scoparia","2649","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Monotoca scoparia","2649","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Pultenaea procumbens","3012","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Pultenaea procumbens","3012","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Pultenaea procumbens","3012","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Stylidium graminifolium","6157","Purdie 1977","surv1","Most",NA,NA,NA,"Regrowth class, NGD",NA
"Stylidium graminifolium","6157","Purdie 1977","surv4","Basal",NA,NA,NA,"Regrowth class, NGD",NA
"Stylidium graminifolium","6157","Purdie 1977","rect2","Tolerant",NA,NA,NA,"Regrowth class, NGD",NA
"Caladenia carnea","4373","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Caladenia carnea","4373","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Caladenia cucullata","4376","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Caladenia cucullata","4376","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Caladenia praecox","12068","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Caladenia praecox","12068","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Diuris maculata","4447","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Diuris maculata","4447","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Pterostylis parviflora","4566","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Pterostylis parviflora","4566","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Thelymitra pauciflora","4602","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
"Thelymitra pauciflora","4602","Purdie 1977","surv4","Tuber",NA,NA,NA,"Regrowth class, GD",NA
"Thysanotus patersonii","3573","Purdie 1977","surv1","All",NA,NA,NA,"Regrowth class, GD",NA
