species,class
Acacia genistifolia,Obligate seed regenerators — Fire-sensitive decreasers
Dillwynia retorta,Obligate seed regenerators — Fire-sensitive decreasers
Cassytha pubescens,Obligate seed regenerators — Fire-sensitive decreasers
Pimelea linifolia,Obligate seed regenerators — Fire-sensitive decreasers
Cerastium semidecandrum,Therophytes
Conyza florida,Therophytes
Crassula sieberana,Therophytes
Daucus glochidiatus,Therophytes
*Gnaphalium involucratum,Therophytes
*Hypochoeris glabra,Therophytes
*Lactuca serriola,Therophytes
Linaria pelisserana,Therophytes
Parentucellia latifolia,Therophytes
Poranthera microphylla,Therophytes
*Senecio quadridentatus,Therophytes
Solanum nigrum,Therophytes
*Sonchus asper,Therophytes
Aira cupaniana,Therophytes
Briza minor,Therophytes
Bromus mollis,Therophytes
Cyperus sanguinolentus,Therophytes
Juncus capitatus,Therophytes
Lolium rigidum,Therophytes
Vulpia bromoides,Therophytes
Eucalyptus dives,Facultative root resprouters — Fire-resistant decreasers
Eucalyptus macrorhyncha,Facultative root resprouters — Fire-resistant decreasers
Eucalyptus mannifera subsp. maculosa,Facultative root resprouters — Fire-resistant decreasers
Eucalyptus rossii,Facultative root resprouters — Fire-resistant decreasers
Acacia vomeriformis,Facultative root resprouters — Fire-resistant decreasers
Astroloma humifusum,Facultative root resprouters — Fire-resistant decreasers
Astrotricha ledifolia,Facultative root resprouters — Fire-resistant decreasers
Billardiera scandens,Facultative root resprouters — Fire-resistant decreasers
Brachyloma daphnoides,Facultative root resprouters — Fire-resistant decreasers
*Chondrilla juncea,Facultative root resprouters — Fire-resistant decreasers
Epilobium cinereum,Facultative root resprouters — Fire-resistant decreasers
Grevillea alpina,Facultative root resprouters — Fire-resistant decreasers
*Hardenbergia violacea,Facultative root resprouters — Fire-resistant decreasers
*Helichrysum collinum,Facultative root resprouters — Fire-resistant decreasers
Hovea heterophylla,Facultative root resprouters — Fire-resistant decreasers
Hypericum gramineum,Facultative root resprouters — Fire-resistant decreasers
*Hypochoeris radicata,Facultative root resprouters — Fire-resistant decreasers
Leptospermum multicaule,Facultative root resprouters — Fire-resistant decreasers
Leucopogon aff. fletcheri,Facultative root resprouters — Fire-resistant decreasers
Melichrus urceolatus,Facultative root resprouters — Fire-resistant decreasers
Monotoca scoparia,Facultative root resprouters — Fire-resistant decreasers
Persoonia rigida,Facultative root resprouters — Fire-resistant decreasers
Pultenaea procumbens,Facultative root resprouters — Fire-resistant decreasers
Stylidium graminfolium,Facultative root resprouters — Fire-resistant decreasers
Aristida ramosa,Facultative root resprouters — Fire-resistant decreasers
Danthonia eriantha,Facultative root resprouters — Fire-resistant decreasers
Danthonia pallida,Facultative root resprouters — Fire-resistant decreasers
Danthonia pilosa,Facultative root resprouters — Fire-resistant decreasers
Deyeuxia quadriseta,Facultative root resprouters — Fire-resistant decreasers
Dichelachne sciurea,Facultative root resprouters — Fire-resistant decreasers
Poa sp.,Facultative root resprouters — Fire-resistant decreasers
Exocarpos cupressiformis,Facultative root resprouters — Fire-resistant increasers
Acacia mearnsii,Facultative root resprouters — Fire-resistant increasers
Daviesia mimosoides,Facultative root resprouters — Fire-resistant increasers
Indigofera australis,Facultative root resprouters — Fire-resistant increasers
Acacia buxifolia,Facultative root resprouters — Fire-resistant increasers
Goodenia hederacea,Facultative root resprouters — Fire-resistant increasers
Haloragis tetragyna,Facultative root resprouters — Fire-resistant increasers
Helichrysum semipapposum,Facultative root resprouters — Fire-resistant increasers
*Helichrysum calycina,Facultative root resprouters — Fire-resistant increasers
Hibbertia obtusifolia,Facultative root resprouters — Fire-resistant increasers
Oxalis corniculata,Facultative root resprouters — Fire-resistant increasers
Wahlenbergia sp.,Facultative root resprouters — Fire-resistant increasers
Microlaena stipoides,Facultative root resprouters — Fire-resistant increasers
Caladenia angustata,Obligate root resprouters — Fire-resistant decreasers
Caladenia caerulea,Obligate root resprouters — Fire-resistant decreasers
Caladenia carnea,Obligate root resprouters — Fire-resistant decreasers
Caladenia cucullata,Obligate root resprouters — Fire-resistant decreasers
Caladenia dilatata,Obligate root resprouters — Fire-resistant decreasers
Caladenia praecox,Obligate root resprouters — Fire-resistant decreasers
Diuris maculata,Obligate root resprouters — Fire-resistant decreasers
Glossodia major,Obligate root resprouters — Fire-resistant decreasers
Microtis parviflora,Obligate root resprouters — Fire-resistant decreasers
Prasophyllum sp.,Obligate root resprouters — Fire-resistant decreasers
Prasophyllum brevilabre,Obligate root resprouters — Fire-resistant decreasers
Prasophyllum rufum,Obligate root resprouters — Fire-resistant decreasers
Pterostylis parviflora,Obligate root resprouters — Fire-resistant decreasers
Thelymitra pauciflora,Obligate root resprouters — Fire-resistant decreasers
Thysanotus patersonii,Obligate root resprouters — Fire-resistant decreasers
Thysanotus tuberosus,Obligate root resprouters — Fire-resistant decreasers
Dianella revoluta,Obligate root resprouters — Fire-resistant increasers
Juncus subsecundus,Obligate root resprouters — Fire-resistant increasers
Lomandra filiformis,Obligate root resprouters — Fire-resistant increasers
Lomandra longifolia,Obligate root resprouters — Fire-resistant increasers
Lomandra multiflora,Obligate root resprouters — Fire-resistant increasers
Acacia implexa,Mode of regeneration unknown
Cassinia aculeata,Mode of regeneration unknown
Cassinia longifolia,Mode of regeneration unknown
Cassinia quinquefaria,Mode of regeneration unknown
Hydrocotyle sp.,Mode of regeneration unknown
Omphacomeria acerba,Mode of regeneration unknown
Opercularia hispida,Mode of regeneration unknown
