record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
156801,3781,Acacia genistifolia,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
164993,3781,Acacia genistifolia,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165025,2850,Dillwynia retorta,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
163421,3469,Cassytha pubescens,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165010,3469,Cassytha pubescens,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165066,6182,Pimelea linifolia,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
181966,6182,Pimelea linifolia,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165020,1109,Daucus glochidiatus,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
166181,1109,Daucus glochidiatus,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165050,1550,Lactuca serriola,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
175348,1550,Lactuca serriola,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165064,5992,Parentucellia latifolia,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
180811,5992,Parentucellia latifolia,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165068,7395,Poranthera microphylla,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
182397,7395,Poranthera microphylla,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165074,1675,Senecio quadridentatus,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
183380,1675,Senecio quadridentatus,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165075,6091,Solanum nigrum,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
183517,6091,Solanum nigrum,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165076,1689,Sonchus asper,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
158026,4731,Aira cupaniana,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
164996,4731,Aira cupaniana,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
162414,4801,Briza minor,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165002,4801,Briza minor,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165016,2395,Cyperus sanguinolentus,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
166008,2395,Cyperus sanguinolentus,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165048,3324,Juncus capitatus,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
175130,3324,Juncus capitatus,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165055,5033,Lolium rigidum,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
177760,5033,Lolium rigidum,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165081,5239,Vulpia bromoides,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
184356,5239,Vulpia bromoides,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",None,NA,NA,NA,exact
165028,4082,Eucalyptus dives,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
169231,4082,Eucalyptus dives,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165029,4120,Eucalyptus macrorhyncha,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
169444,4120,Eucalyptus macrorhyncha,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165031,4172,Eucalyptus rossii,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
169746,4172,Eucalyptus rossii,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
164998,2584,Astroloma humifusum,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
159737,1203,Astrotricha ledifolia,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
164999,1203,Astrotricha ledifolia,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
160604,4671,Billardiera scandens,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165000,4671,Billardiera scandens,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165001,2586,Brachyloma daphnoides,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
163745,1391,Chondrilla juncea,surv1,NSWFFRDv2.1,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165012,1391,Chondrilla juncea,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
165036,5357,Grevillea alpina,surv1,austraits-6.0.0,"{""Purdie Slatyer 1976""}",All,NA,NA,NA,exact
