bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Paspalidium distans,7172,Read Bellairs 1999,germ8,PY,NA,NA,NA,"Table 2 / text, Table 2: smoke 30.5%** vs control 17.5%; covering structures hindered smoke stimulation, removal significantly increased germination (Results p.567, Discussion)",NA
Themeda triandra,7770,Read Bellairs 1999,germ8,PY,NA,NA,NA,"Table 2 / text, Table 2: smoke 86.6%* vs control 75.2%; covering structures hindered smoke stimulation, removal increased germination to 92.4%*** (Table 2, Results p.567)",NA
Chloris ventricosa,4834,Read Bellairs 1999,germ8,PD,NA,NA,NA,"Table 2 / text, Table 2: smoke 97%* vs control 89.6%; only small proportion of dormant seeds; husk had little effect on germination (Discussion p.572)",NA
Dichanthium sericeum,7485,Read Bellairs 1999,germ8,PD,NA,NA,NA,"Table 2 / text, Table 2: smoke 98.3%** vs control 93.0%; only small proportion of dormant seeds; husk had little effect on germination (Discussion p.572)",NA
Panicum decompositum,6395,Read Bellairs 1999,germ8,PD,NA,NA,NA,"Table 2 / text, Table 2: smoke 63.1%*** vs control 7.7%; husked seeds only; covering structures did not inhibit smoke stimulation (Results p.567)",NA
Panicum effusum,5055,Read Bellairs 1999,germ8,PD,NA,NA,NA,"Table 2 / text, Table 2: smoke 16.7%*** vs control 0%; husked seeds only; covering structures did not inhibit smoke stimulation (Results p.567)",NA
Chloris truncata,4833,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 90.4 vs control 86.6 (n.s. final); viability 93%; germination without smoke ~ viability, no dormancy apparent (Discussion p.571)",NA
Microlaena stipoides,5037,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 79.5 vs control 86.4 (n.s. final); viability 95%; low level of seed dormancy, no smoke response (Discussion p.571)",NA
Cymbopogon refractus,4841,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 49.7 vs control 43.7 (n.s.); viability 42%; no smoke response, germination ~ viability (Group 3, Discussion p.571)",NA
Eriochloa pseudoacrotricha,7335,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 67.8 vs control 69.4 (n.s.); viability 75%; appeared not dormant, germination ~ viability (Group 3, Discussion p.572)",NA
Austrostipa scabra,10377,Read Bellairs 1999,germ8,PY,NA,NA,NA,"Table 2 / text, Table 2: smoke 34.1%*** vs control 14.0% (husked); dehusking further increased germination to 31.4%*** (Table 2); covering structures contribute to dormancy (Fig. 1a, Results p.567)",NA
Rytidosperma erianthum,14308,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 96.1 vs control 93.9 (n.s. final); viability 100%; germination without smoke ~ viability, no dormancy apparent (Discussion p.571)",NA
Rytidosperma bipartitum,14304,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 86.6 vs control 92.6 (n.s. final); viability 87%; germination without smoke ~ viability, no dormancy apparent (Discussion p.571)",NA
Rytidosperma racemosum,14317,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 97.8 vs control 96.5 (n.s. final); viability 97%; germination without smoke ~ viability, no dormancy apparent (Discussion p.571)",NA
Poa labillardierei subsp. nervosa,13460,Read Bellairs 1999,germ8,PD,NA,NA,NA,"Table 2 / text, Table 2: smoke 23.5%* vs control 10%; covering structures did not inhibit smoke stimulation (Results p.567)",NA
Bothriochloa decipiens var. decipiens,7559,Read Bellairs 1999,germ8,ND,NA,NA,NA,"Table 2 / text, Table 2: smoke 93.7 vs control 92.6 (n.s.); viability 100%; no smoke response, germination ~ viability (Group 3, Discussion p.571)",original name: Bothriochloa decipiens
