species,myrmecochore_status
Psilotum nudum (L.) Griseb.,unmarked
Lycopodium species 1,unmarked
Athyrium assimile (Endl.) Presl.,unmarked
Blechnum cartilagineum Sw.,unmarked
Histiopteris incisa (Thunb.) J. Sm.,unmarked
Pteridium esculentum (Forst. f.) Cockayne,unmarked
Culcita dubia (R.Br.) Maxon,unmarked
Gleichenia dicarpa R.Br.,unmarked
Gleichenia microphylla R.Br.,unmarked
Gleichenia rupestris R.Br.,unmarked
Lindsaea linearis Sw.,unmarked
Lindsaea microphylla Sw.,unmarked
Schizaea dichotoma (L.) Sm.,unmarked
Caustis flexuosa R.Br.,unmarked
Caustis pentandra R.Br.,unmarked
Chorizandra sp.,unmarked
Cyathochaeta diandra Nees,unmarked
Gahnia aspera (R.Br.) Spreng.,unmarked
Gahnia clarkei Benl,unmarked
Gahnia erythrocarpa R.Br.,unmarked
Gahnia sieberana Kunth,unmarked
Gahnia sp. 1,unmarked
Gymnoschoenus sphaerocephalus (R.Br.) Hook.f.,unmarked
Lepidosperma elatius Labill.,star
Lepidosperma filiforme Labill.,dagger
Lepidosperma flexuosum Labill.,dagger
Lepidosperma laterale R.Br.,dagger
Lepidosperma lineare R.Br.,dagger
Lepidosperma urophorum N. Wakefield,dagger
Lepidosperma viscidum R.Br.,dagger
Ptilanthelium deusteum (R.Br.) Kukenth.,unmarked
Schoenus apogon Roem. et Schult.,unmarked
Schoenus brevifolius R.Br.,unmarked
Schoenus ericetorum R.Br.,unmarked
Schoenus melanostachys R.Br.,unmarked
Schoenus turbinatus (R.Br.) Poir.,dagger
Haemodorum sp. 1,unmarked
Libertia paniculata (R.Br.) Spreng.,unmarked
Patersonia glabrata R.Br.,star
Patersonia longifolia R.Br.,star
Patersonia sericea R.Br.,star
Blandfordia nobilis Sm.,unmarked
Burchardia umbellata R.Br.,unmarked
Caesia vittata R.Br.,star
Dianella caerulea Sims,unmarked
Dianella laevis R.Br.,unmarked
Laxmannia gracilis R.Br.,unmarked
Schelhammera undulata R.Br.,star
Acianthus sp.,unmarked
Caleana minor R.Br.,unmarked
Dendrobium linguiforme Swartz,unmarked
Glossodia minor R.Br.,unmarked
Pterostylis acuminata R.Br.,unmarked
Thelymitra media R.Br.,unmarked
Orchid sp. 1,unmarked
Livistona australis (R.Br.) Mart.,unmarked
Anisopogon avenaceus R.Br.,unmarked
Aristida vagans Cav.,unmarked
Entolasia stricta (R.Br.) Hughes,unmarked
Eragrostis brownii Nees ex Steud.,unmarked
Imperata cylindrica (L.) Beauv.,unmarked
Panicum simile Domin,unmarked
Panicum sp. 1,unmarked
Stipa pubescens R.Br.,unmarked
Themeda australis (R.Br.) Stapf.,unmarked
Calorophus minor Hook.F.,unmarked
Hypolaena fastigiata R.Br.,unmarked
Leptocarpus tenax (Labill.) R.Br.,unmarked
Lepyrodia anarthria F. Muell. ex Benth.,unmarked
Lepyrodia scariosa R.Br.,unmarked
Restio complanatus R.Br.,unmarked
Restio dimorphus R.Br.,unmarked
Restio fastigiatus R.Br.,unmarked
Restio pallens R.Br.,unmarked
Smilax glyciphylla Sm.,unmarked
Lomandra brevis Lee,unmarked
Lomandra confertifolia (F.M. Bailey) Fahn.,unmarked
Lomandra filiformis (Thunb.) J. Britt.,unmarked
Lomandra glauca (R.Br.) Ewart,unmarked
Lomandra gracilis (R.Br.) Lee,dagger
Lomandra longifolia Labill.,dagger
Lomandra multiflora (R.Br.) J. Britt.,unmarked
Lomandra obliqua (Thunb.) MacBride,unmarked
Lomandra sp. 1,unmarked
Xanthorrhoea arborea R.Br.,unmarked
Xanthorrhoea media R.Br.,unmarked
Xyris gracilis R.Br.,unmarked
Xyris juncea R.Br.,unmarked
Xyris operculata Labill.,unmarked
Gomphocarpus fruticosus L.,unmarked
Bauera rubioides Andr.,unmarked
Cassytha glabella R.Br.,unmarked
Cassytha pubescens R.Br.,unmarked
Casuarina distyla Vent.,unmarked
Casuarina littoralis Salisb.,unmarked
Casuarina torulosa Ait.,unmarked
Olearia tomentosa (Wendl.) DC.,unmarked
Sonchus oleraceus L.,unmarked
Verononia cinereas Less.,unmarked
Ceratopetalum gummiferum Sm.,unmarked
Hibbertia astrotricha (Sieb. ex Spreng.) N.A. Wakefield,star
Hibbertia bracteata (R.Br. ex DC.) Benth.,star
Hibbertia dentata R.Br. ex DC.,dagger
Hibbertia fasciculata R.Br. ex DC.,star
Hibbertia linearis R.Br. ex DC.,star
Hibbertia stricta (R.Br. ex DC.) F. Muell.,star
Drosera binata Labill.,unmarked
Drosera peltata Sm. ex Willd.,unmarked
Drosera spathulata Labill.,unmarked
Elaeocarpus reticulatus Sm.,unmarked
Brachyloma daphnoides (Sm.) Benth.,star
Epacris longiflora Cav.,unmarked
Epacris microphylla R.Br.,unmarked
Epacris obtusifolia Sm.,unmarked
Epacris pulchella Cav.,unmarked
Leucopogon amplexicaule (Rudge) R.Br.,dagger
Leucopogon appressus R.Br.,dagger
Leucopogon esquamatus R.Br.,star
Leucopogon juniperinus R.Br.,dagger
Leucopogon microphyllus R.Br.,dagger
Leucopogon setiger R.Br.,dagger
Monotoca scoparia (Sm.) R.Br.,star
Sprengelia incarnata Sm.,unmarked
Styphelia triflora Andr.,unmarked
Styphelia tubiflora Sm.,unmarked
Woollsia pungens (Cav.) F. Muell.,unmarked
Amperea xiphoclada (Sieb. ex Spreng.) Druce,unmarked
Micrantheum ericoides Desf.,star
Phyllanthus thymoides J. Muell.,unmarked
Poranthera microphylla Brongn.,dagger
Ricinocarpus pinifolius Desf.,star
Dampiera purpurea R.Br.,unmarked
Dampiera stricta (Sm.) R.Br.,unmarked
Goodenia dimorpha Maiden et Betche,dagger
Goodenia hederacea Sm.,dagger
Goodenia stelligera R.Br.,dagger
Goodenia sp. 1,dagger
Haloragis tetragyna (Labill.) Hook. f.,unmarked
Haloragis teucrioides (DC.) Schlect.,unmarked
Hemigenia purpurea R.Br.,unmarked
Scutellaria mollis R.Br.,unmarked
Ultricularia dichotoma Labill.,unmarked
Mitrasacme polymorpha R.Br.,unmarked
Synoum glandulosum (Sm.) A. Juss.,unmarked
Acacia longifolia (Andrews) Willd.,star
