"bionet_name","species_code","original_source","trait_code","norm_value","best","lower","upper","raw_value","notes"
"Lepidosperma elatius","8379","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Patersonia glabrata","3301","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Patersonia longifolia","3302","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Patersonia sericea","3303","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Schelhammera undulata","3566","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hibbertia bracteata","2528","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hibbertia fasciculata","2536","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Hibbertia linearis","2539","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Brachyloma daphnoides","2586","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Leucopogon esquamatus","2617","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Monotoca scoparia","2649","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Micrantheum ericoides","2736","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Acacia longifolia","3816","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Acacia myrtifolia","3834","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Acacia oxycedrus","3844","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Acacia suaveolens","3881","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Bossiaea heterophylla","2780","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Bossiaea scolopendria","2789","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Dillwynia floribunda","2843","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
"Dillwynia retorta","2850","Rice Westoby 1981","disp1","ant",NA,NA,NA,"Appendix 1 myrmecochore status: dispersed by ants ",NA
