species,regeneration_mode
Casuarina pusilla,re-established from rootstocks
Casuarina paludosa,re-established from rootstocks
Persoonia juniperina,re-established from rootstocks
Isopogon ceratophyllus,status uncertain
Banksia marginata,re-established from rootstocks
Hakea sericea,establishing only from seeds after fire
Hakea teretifolia,status uncertain
Hakea ulicina,re-established from rootstocks
Marianthus procumbens,establishing only from seeds after fire
Acacia myrtifolia,re-established from rootstocks
Dillwynia sericea,establishing only from seeds after fire
Dillwynia glaberrima,establishing only from seeds after fire
Pimelea humilis,status uncertain
Leptospermum myrsinoides,re-established from rootstocks
Leptospermum juniperinum,re-established from rootstocks
Epacris impressa,re-established from rootstocks
Leucopogon virgatus,re-established from rootstocks
