species,vegetation_type,regen_type,regen_codes,repr3_code
Acacia aulacocarpa,Rain forest Trees,Vegetative resprouter,,
Adina racemosa,Rain forest Trees,Vegetative resprouter,,
Allosyncarpia ternata,Rain forest Trees,Vegetative resprouter,,
Canarium australianum,Rain forest Trees,Vegetative resprouter,,
Buchanania arborescens,Rain forest Trees,Vegetative resprouter,,
Canthium DNA63558,Rain forest Trees,Vegetative resprouter,,
Carallia brachiata,Rain forest Trees,Vegetative resprouter,,
Cryptocarya cunninghamii,Rain forest Trees,Vegetative resprouter,,
Cryptocarya exfoliata,Rain forest Trees,Vegetative resprouter,,
Diospyros calycantha,Rain forest Trees,Vegetative resprouter,,
Drypetes deplanchei,Rain forest Trees,Vegetative resprouter,,
Dysoxylum oppositifolium,Rain forest Trees,Vegetative resprouter,,
Ficus scobina,Rain forest Trees,Vegetative resprouter,,
Maranthes corymbosa,Rain forest Trees,Vegetative resprouter,,
Miliusa traceyi,Rain forest Trees,Vegetative resprouter,,
Myristica insipida,Rain forest Trees,Vegetative resprouter,,
Polyalthia australis,Rain forest Trees,Vegetative resprouter,,
Polyalthia nitidissima,Rain forest Trees,Vegetative resprouter,,
Pouteria sericea,Rain forest Trees,Vegetative resprouter,,
Stenocarpus verticis,Rain forest Trees,Vegetative resprouter,,
Sterculia quadrifida,Rain forest Trees,Vegetative resprouter,,
Strychnos lucida,Rain forest Trees,Vegetative resprouter,,
Vitex acuminata,Rain forest Trees,Vegetative resprouter,,
Vitex glabrata,Rain forest Trees,Vegetative resprouter,,
Xanthostemon psidioides,Rain forest Trees,Vegetative resprouter,,
Acacia plectocarpa,Woodland/heath Trees,Obligate seeder,,4
Acacia torulosa,Woodland/heath Trees,Obligate seeder,,4
Callitris intratropica,Woodland/heath Trees,Obligate seeder,,4
Alphitonia excelsa,Woodland/heath Trees,Vegetative resprouter,,
Banksia dentata,Woodland/heath Trees,Vegetative resprouter,,
Brachychiton diversifolius,Woodland/heath Trees,Vegetative resprouter,,
Buchanania obovata,Woodland/heath Trees,Vegetative resprouter,,
Denhamia obscura,Woodland/heath Trees,Vegetative resprouter,,
Erythrophleum chlorostachys,Woodland/heath Trees,Vegetative resprouter,,
Eucalyptus arnhemensis,Woodland/heath Trees,Vegetative resprouter,,
Eucalyptus bleeseri,Woodland/heath Trees,Vegetative resprouter,,
Eucalyptus herbertiana,Woodland/heath Trees,Vegetative resprouter,,
Eucalyptus kombolgiensis,Woodland/heath Trees,Vegetative resprouter,,
