"record_id","species_code","species","trait_code","main_source","original_sources","norm_value","best","lower","upper","match_type"
156482,"7581","Acacia aulacocarpa","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
168301,"11864","Drypetes deplanchei","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
182256,"1088","Polyalthia nitidissima","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
183734,"7343","Sterculia quadrifida","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
158269,"7686","Alphitonia excelsa","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
182569,"5705","Psychotria daphnoides","surv1","NSWFFRDv2.1",NA,"None",NA,NA,NA,"possible"
181347,"6396","Petalostigma pubescens","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
181884,"6751","Phyllanthus virgatus","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
171066,"6383","Exocarpos latifolius","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
163978,"12201","Clerodendrum floribundum var. floribundum","surv1","NSWFFRDv2.1",NA,"All",NA,NA,NA,"possible"
