species,fire_response,juvenile_period,annotation
Actinostrobus acuminatus,Sprout,,
Caustis dioeca,Sprout,,
Mesomelaena stygia,Sprout,,
Mesomelaena tetragona,Sprout,,
Schoenus curvifolius,Sprout,,
Anigozanthos humilis,Sprout,<2,
Blancoa canescens,Sprout,<2,2
Conostylis androstemma,Sprout,,
Conostylis aurea,Sprout,<2,
Conostylis filifolia,Sprout,<2,
Conostylis teretifolia,Sprout,,
Haemodorum paniculatum,Sprout,,
Macropidia fuliginosa,Sprout,,
Phlehocarya ciliata,Sprout,,
Patersonia occidentalis,Sprout,?2,
Burchardia umbellata,Sprout,?2,
Johnsonia pubescens,Seed,?2,
Laxmannia grandiflora,Seed,,
Laxmannia sp. aff. sessiliflora,Seed,,
Thysanotus glaucus,Seed,,
Thysanotus multiflorus,Seed,?2,
Diuris longifolia,Sprout,1,
Glossodia brunonis,Sprout,,
Prasophyllum parviflorum,Sprout,?2,
Pterostylis nana,Sprout,,
Thelymitra sp. aff. variegata,Sprout,,
Neurachne alopecuroides,Sprout,,
Alexgeorgia arenicola,Sprout,,
Anarthria laevis,Sprout,,
Ecdeiocolea monostachya,Sprout,,
Hypolaena exsulca,Sprout,,
Lyginea barbata,Sprout,,
Calectasia cyanea,Sprout,<2,
Dasypogon bromeliifolius,Sprout,<2,
Kingia australis,Sprout,<2,
Xanthorrhoea reflexa,Sprout,<2,
Xanthosia huegelii,,,
Angianthus tomentosus,Seed,<2,
Arctotheca calendula,Seed,1,
Helipterum cotula,Seed,1,
Podotheca gnaphalioides,Sprout,,
Podotheca pygmaea,Seed,1,
Ursinia anthemoides,Seed,1,
Labichea punctata,Sprout,<2,
Allocasuarina humilis,Sprout,,
Allocasuarina microstachya,Sprout,,
Lachnostachys verbascifolia,Sprout,,
Pityrodia bartlingii,Sprout,<2,
Hibbertia acerosa,Sprout,,
Hibbertia aurea,Sprout,,
Hibbertia crassifolia,Sprout,<2,
Hibbertia glaberrima,Seed & Sprout,<2,
Hibbertia huegelii,Sprout,<2,
Hibbertia hypericoides,Sprout,<2,
Hibbertia pilosa,Sprout,,
Hibbertia racemosa,Sprout,,
Drosera drummondii,Seed,,
Drosera erythrorrhiza,Sprout,,
Drosera heterophylla,Sprout,<2,
Drosera macrantha,Sprout,<2,
Drosera menziesii,Sprout,,
Drosera paleacea,Seed,,
Drosera pallida,,,
Andersonia heterophylla,Seed & Sprout,?4,
Andersonia lehmanniana,Sprout,?4,
Astroloma microdontum,Seed,?4,
Astroloma pallidum,Sprout,?2,
Astroloma serratifolium,Sprout,?2,
Astroloma stomarrhena,Sprout,?2,
Astroloma xerophyllum,Seed,?4,
Conostephium pendulum,Sprout,?5,
Leucopogon striatus,Sprout & Seed,?2,
Leucopogon conostephioides,Seed,?5,
Leucopogon crassiflorus,,?5,3
Leucopogon cryptanthus,,,
Lysinema ciliatum,Seed,?4,
Monotaxis grandiflora,,,
Dampiera juncea,,,
Dampiera lindleyi,Sprout,,
Dampiera spicigera,Sprout,,
Dampiera stenostachya,,,
Lechenaultia biloba,Sprout,?2,
Lechenaultia floribunda,Seed,,
Lechenaultia formosa,,,
Scaevola canescens,Sprout,,
Scaevola glandulifera,,,
Scaevola paludosa,Sprout,,
Velleia trinervis,Seed,,
Verreauxia villosa,Seed,2,
Glischrocaryon aureum var. aureum,,,
Cassytha pubescens,Seed,,
Hemiandra pungens,Sprout,,
Lobelia gibbosa,,,
Logania spermacocea,,,
Nuytsia floribunda,Sprout,,
Plagianthus monoicus,,,
Acacia auronitens,Sprout & Seed,,
Acacia cedroides,,?2,
Acacia lasiocarpa,Seed,,
Acacia pulchella,Seed,?5>2,
Acacia spinosissima,,,
Acacia stenoptera,Sprout,?5>2,
Acacia teretifolia,,,
Baeckea camphorosmae,,,
Baeckea crispifolia,,,
Baeckea grandiflora,Sprout,<4>2,
Beaufortia bracteosa,Seed,,
Beaufortia elegans,Seed,?2,
Beaufortia eriocephala,Sprout & Seed,<2,
Beaufortia squarrosa,Seed,<2,
Calothamnus sanguineus,Sprout,<4,
Calothamnus torulosus,Sprout,?5>2,
Calytrix brachyphylla,Sprout,<2,
Calytrix flavescens,,,
Calytrix muricata,,,
Conolhamnus trinervis,Sprout,?2,
Darwinia speciosa,Sprout,,
Eremaea beaufortioides,Sprout,?2,2
Eremaea fimbriata,Seed,,
Eucalyptus macrocarpa,Sprout,,
Eucalyptus pendens,Sprout,,
Eucalyptus todtiana,Sprout,,
Hypocalymma xanthopetalum,Sprout,?2,
Leptospermum spinescens,Sprout,,
Melaleuca depressa,Sprout,,
Melaleuca scabra,Sprout,,
Melaleuca trichophylla,Sprout,<4>2,
Pileanthus filifolius,,<4,
Verticordia densiflora,,,
Verticordia grandiflora,Seed,<4,
Verticordia grandis,Sprout,<2,
Verticordia spicata,,,
Verticordia ovalifolia,,,
Daviesia aphylla,Sprout,?2,
Daviesia daphnoides,Sprout,,
Daviesia divaricata,Sprout,?2,
Daviesia epiphylla,Sprout,,
Daviesia juncea,Sprout,,
Daviesia nudiflora,Sprout,?2,
Daviesia pectinata,Sprout,?2,
Daviesia pedunculata,Sprout,<2,
Daviesia preissii,Sprout,,
Daviesia quadrilatera,Seed,?2,
Daviesia striata,Sprout,,
Gastrolobium bidens,Seed,,
Gastrolobium ilicifolium,,,
Gastrolobium obovatum,Sprout,?5,
Gastrolobium oxylobioides,Sprout,,
Gastrolobium spinosum,Seed,,
Gastrolobium knightianum,Sprout,,
Hovea stricta,Sprout,?2,
Isotropis cuneifolius,Sprout,?2,2
Jacksonia floribunda,Seed & Sprout,?2,
Jacksonia restioides,,,
Jacksonia sternbergiana,Seed,,
Kennedia prostrata,Seed,,
Oxylobium capitatum,,,
Sphaerolobiuim macranthum,,,
Gyrostemon ramulosus,Seed,<2,
Tersonia brevipes,Seed,<2,
Billardiera bicolor,,,
Comesperma calymega,Sprout,?2,
Adenanthos cygnorum,Seed,,
Banksia attenuata,Sprout & Seed,<2,
Banksia candolleana,Sprout,?4>2,
Banksia menziesii,Sprout,?2,
Banksia prostrata,Sprout,?2,
Banksia sphaerocarpa,Seed & Sprout,,
Banksia sp. aff. sphaerocarpa,Seed & Sprout,?2,
Conospermum acerosum,Sprout,,
Conospermum incurvum,Sprout,<5,
Conospermum nervosum,Seed,,
Conospermum stoechadis,Sprout,<2,
Conospermum triplinervium,Sprout,<2,
Dryandra bipinnatifida,Sprout & Seed,,
Dryandra carlinioides,Seed,?4>2,
Dryandra kippistiana,Seed,<2,
Dryandra nana,Sprout,<2,
Dryandra nivea,Sprout,,
Dryandra sessilis,Seed,?2,
Dryandra shuttleworthiana,Sprout,,
Dryandra tridentata,Sprout,<2,
Grevillea pilulifera,Sprout,,
Grevillea shuttleworthiana,Sprout,,
Grevillea synapheae,Seed,?2,
Hakea auriculata,Sprout,?2,
Hakea conchifolia,Sprout,<2,
Hakea corymibosa,Sprout,,
Hakea costata,Seed,?6,
Hakea flabellifolia,Sprout,,
Hakea incrassata,Sprout,?2,
Hakea lissocarpha,Sprout,,
Hakea obliqua,Seed,?4,
Hakea prostrata,Sprout,,
Hakea ruscifolia,,,
Hakea sulcata var. scoparia,Seed,,
Hakea undulata,,,
Isopogon asper,,<2,
Isopogon linearis,Sprout,?4>2,
Isopogon teretifolius,,,
Lambertia multiflora,Sprout,?2,
Persoonia dillwynioides,Sprout,?4,
Petrophile inconspicua,Sprout & Seed,,
Petrophile linearis,Sprout,?2,
Petrophile macrostachya,Sprout,?4,
Petrophile media,Seed,?2,
Petrophile serruriae,,,
Petrophile striata,Sprout & Seed,,
Stirlingia latifolia,Sprout,?2,
Stirlingia simplex,Sprout,,
Strangea cyanchocarpa,Sprout,,
Synaphaea petiolaris,Sprout,,
Synaphaea polymorpha,Sprout & Seed,?2,
Cryptandra arbutiflora,,,
Cryptandra pungens,,,
Spyridium tridentatum,,,
Spyridium sp. aff. tridentatum,Seed,?2,
Trymalium ledifolium,,,
Boronia ramosa,,,
Eriostemon spicatus,Sprout,?2,
Stackhousia brunonsis,Sprout & Seed,?2,
Stackhousia pubescens,,,
Commersonia pulchella,,,
Lasiopetalum drummondii,Sprout,?2,
Lasiopetalum sp.,,,
Thomasia grandiflora,Sprout,?2,
Stylidium adpressum,Seed,,
Stylidium leptophyllum,Seed,,
Stylidium piliferum ssp. minor,Seed,?2,2
Stylidium repens,Seed,?2,
Pimelea angustifolia,Sprout,,
Pimelea floribunda,Seed,,
Pimelea imbricata,,,
Pimelea suaveolens,Seed,?2,2
Pimelea sulphurea,Sprout & Seed,,
Tetratheca confertifolia,,,
Hybanthus calycinus,,,
Hybanthus floribundus,,?2,
