species,regen_strategy,organ_codes,first_flowering
Acacia dealbata,OSR,,
Acacia mearnsii,OSR,,
Acacia pycnantha,OSR,,F2
Pomaderris aspera,OSR,,
Pomaderris elachophylla,OSR,,F3
Pomaderris ferruginea,OSR,,
Prostanthera lasianthos,OSR,,
Cladia aggregata,OSR,,
Asterella drummondii,OSR,,F3
Anthoceros laevis,OSR,,F3
Cephaloziella exiliflora,OSR,,F3
Lethocolea pansa,OSR,,F3
Lophocolea semieres,OSR,,F3
Marchantia polymorpha,OSR,,F1
Symphogyna podophylla,OSR,,F3
Barbula calycina,OSR,,F3
Bryum billardieri,OSR,,F3
Bryum pachytheca,OSR,,F3
Breutelia affinis,OSR,,F3
Campylopus introflexus,OSR,,F3
Campylopus pyriformis,OSR,,F3
Ceratodon purpureus,OSR,,F2
Funaria hygrometrica,OSR,,F1
Polytrichum juniperinum,OSR,,F3
Wijkia extenuata,OSR,,F3
Aira caryophyllea,OSR,,F1
Briza minor,OSR,,F1
Echinopogon ovatus,OSR,,F1
Vulpia myuros,OSR,,F1
Acacia acinacea,OSR,,F3
Acacia genistifolia,OSR,,F3
Acacia mucronata,OSR,,F3
Acacia myrifolia,OSR,,F3
Acacia verniciflua,OSR,,F3
Acacia verticillata,OSR,,F3
Correa reflexa,OSR,,F2
Epacris impressa,OSR,,F2
Goodenia ovata,OSR,,F1
Ozothamnus ferrugineus,OSR,,F2
Indigofera australis,OSR,,F2
Olearia lirata,OSR,,F2
Olearia phlogopappa,OSR,,F2
Olearia ramulosa,OSR,,F2
Olearia teretifolia,OSR,,F2
Pultenaea daphnoides,OSR,,F2
Pultenaea scabra,OSR,,F2
Pimelea humilis,OSR,,F1
Pimelea linifolia,OSR,,F2
Leptospermum continentale,OSR,,F2
Solanum laciniatum,OSR,,F2
Spyridium parvifolium,OSR,,F2
Acaena novae-zelandiae,OSR,,F2
Amyema pendulum,OSR,,
Asperula scoparia,OSR,,F2
Aster subulatus,OSR,,F1
Cirsium vulgare,OSR,,F1
Dichondra repens,OSR,,F2
Geranium solanderi,OSR,,F1
Euchiton involucratus,OSR,,F2
Euchiton sphaericus,OSR,,F2
Gonocarpus tetragynus,OSR,,F1
Galium binifolium,OSR,,F2
Geranium spp.,OSR,,F2
Hydrocotyle callicarpa,OSR,,F1
Hydrocotyle hirta,OSR,,F2
Hydrocotyle laxiflora,OSR,,F2
Hypericum gramineum,OSR,,F1
Lobelia rhombifolia,OSR,,F1
Opercularia varia,OSR,,F1
Phyllanthus gunnii,OSR,,F3
Poranthera microphylla,OSR,,F1
Rorippa dictyosperma,OSR,,F1
Senecio velleioides,OSR,,F2
Senecio spp.,OSR,,F1
Stellaria flaccida,OSR,,F1
Stellaria pungens,OSR,,F2
Stellaria media,OSR,,F2
Viola hederacea,OSR,,F1
Viola cleistogamoides,OSR,,F1
Wahlenbergia gracilenta,OSR,,F1
Wahlenbergia stricta,OSR,,F1
Billardiera scandens,OSR,,F2
Cassytha glabella,OSR,,F2
Cassytha melantha,OSR,,F2
Clematis aristata,OSR,,
Comesperma volubile,OSR,,F1
Glycine clandestina,OSR,,F2
Kennedia prostrata,OSR,,F1
Eucalyptus aromaphloia,FRR,St1 L1,
Eucalyptus baxteri,FRR,St1 L1,F2
Eucalyptus cypellocarpa,FRR,St1 L1,
Eucalyptus globulus,FRR,St1 L1,
Eucalyptus globulus ssp. bicostata,FRR,St1 L1,
Eucalyptus obliqua,FRR,St1 L1,F2
Eucalyptus ovata,FRR,St1 L1,
Eucalyptus tricarpa,FRR,St1 L1,F3
Eucalyptus viminalis,FRR,St1 L1,
Eucalyptus willisii,FRR,St1 L1,F3
Acacia melanoxylon,FRR,Rsk1 L1,
Exocarpos cupressiformis,FRR,Rsk1 L1,
Adiantum aethiopicum,FRR,R1,F2
Blechnum cartilagineum,FRR,R1,F2
Blechnum nudum,FRR,R1,
Cyathea australis,FRR,R1,F1
Gleichenia microphylla,FRR,R1,F2
Hymenophyllum cupressiforme,FRR,,
Hypolepis rugosula,FRR,R1,F2
Pteridium esculentum,FRR,R1,F2
Todea barbara,FRR,R1,F1
Agrostis avenacea,FRR,R1,F1
Anthoxanthum odoratum,FRR,R1,F1
Austrostipa rudis,FRR,R1,F1
Austrostipa semibarbata,FRR,R1,F1
Danthonia geniculata,FRR,R1,F1
Danthonia induta,FRR,R1,F1
Danthonia pilosa,FRR,R1,F1
Danthonia procera,FRR,R1,F1
Danthonia setacea,FRR,R1,F1
Deyeuxia densa,FRR,R1,F1
Deyeuxia quadriseta,FRR,R1,F1
Dichelachne rara,FRR,R1,F1
Holcus lanatus,FRR,R1,F1
Joycea pallida,FRR,R1,F1
Microlaena stipoides,FRR,R1,F1
Notodanthonia semiannularis,FRR,R1,F1
Tetrarrhena distichophylla,FRR,R1,F1
Tetrarrhena juncea,FRR,R1,F1
Poa morrisii,FRR,R1,F1
Poa sieberiana,FRR,R1,F1
Poa tenera,FRR,R1,F1
Acrotriche serrulata,FRR,L1,F2
