record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
156676,3758,Acacia dealbata,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
157084,3823,Acacia mearnsii,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
157365,3861,Acacia pycnantha,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
182310,5571,Pomaderris aspera,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
182337,9484,Pomaderris elachophylla,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
NA,9484,Pomaderris elachophylla,repr3,NSWFFRDv2.1,"{""Wark 1997""}",NA,3,NA,NA,exact
182345,5579,Pomaderris ferruginea,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
182487,3415,Prostanthera lasianthos,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
158017,4730,Aira caryophyllea,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
162416,4801,Briza minor,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
NA,4801,Briza minor,repr3,NSWFFRDv2.1,"{""Wark White Robertson Marriott 1987"",""Department Natural Resources Environment "",""Wark 1997"",""Purdie Slatyer 1976""}",NA,1,NA,NA,exact
168348,4934,Echinopogon ovatus,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
NA,4934,Echinopogon ovatus,repr3,NSWFFRDv2.1,"{""Department Natural Resources Environment "",""Wark 1997""}",NA,1,NA,NA,exact
184361,5242,Vulpia myuros,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
156455,3699,Acacia acinacea,surv1,NSWFFRDv2.1,"{""Wark 1997""}",None,NA,NA,NA,exact
NA,3699,Acacia acinacea,repr3,NSWFFRDv2.1,"{""Department Natural Resources Environment "",""Wark 1997""}",NA,3,NA,NA,exact
