record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
157360,3861,Acacia pycnantha,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182307,5571,Pomaderris aspera,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182335,9484,Pomaderris elachophylla,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182343,5579,Pomaderris ferruginea,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
158004,4730,Aira caryophyllea,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
NA,4730,Aira caryophyllea,repr3,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
162408,4801,Briza minor,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
184358,5242,Vulpia myuros,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
156450,3699,Acacia acinacea,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
156795,3781,Acacia genistifolia,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
157637,3895,Acacia verniciflua,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
165508,5772,Correa reflexa (obligate seeder red flowered),surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
180689,8885,Ozothamnus ferrugineus,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182726,2985,Pultenaea daphnoides,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182819,3016,Pultenaea scabra,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
183505,6087,Solanum laciniatum,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
159669,1280,Aster subulatus,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
163885,1400,Cirsium vulgare,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
171405,3156,Geranium solanderi,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
170872,9904,Euchiton involucratus,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
170886,9690,Euchiton sphaericus,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
171243,5681,Galium binifolium,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
174670,1124,Hydrocotyle callicarpa,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
182979,1842,Rorippa dictyosperma,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
183388,1680,Senecio velleioides,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
183695,2004,Stellaria flaccida,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
183701,2006,Stellaria media,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
184374,1933,Wahlenbergia gracilenta,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
163359,3467,Cassytha glabella,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
163401,3468,Cassytha melantha,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
157097,3824,Acacia melanoxylon,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
171046,5860,Exocarpos cupressiformis,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
159386,4750,Anthoxanthum odoratum,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
NA,5142,Poa tenera,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
178558,4263,Melaleuca squarrosa,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
178583,4263,Melaleuca squarrosa,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
180581,4613,Oxalis corniculata,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
180965,3157,Pelargonium australe,surv1,NSWFFRDv2.1,NA,Most,NA,NA,NA,possible
171211,2442,Gahnia sieberiana,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
174972,2453,Isolepis hystrix,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
175156,3339,Juncus pauciflorus,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
175162,3340,Juncus planifolius,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
176622,8379,Lepidosperma elatius,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
177580,3359,Lilium formosanum,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
178159,3359,Luzula meridionalis,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
157739,4351,Acianthus caudatus,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
157765,9088,Acianthus pusillus,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
NA,9088,Acianthus pusillus,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
162691,6703,Caladenia catenata,surv1,NSWFFRDv2.1,NA,All,NA,NA,NA,possible
NA,6703,Caladenia catenata,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
