bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Acacia dealbata,3758,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia mearnsii,3823,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia pycnantha,3861,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia pycnantha,3861,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pomaderris aspera,5571,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pomaderris elachophylla,9484,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pomaderris elachophylla,9484,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Pomaderris ferruginea,5579,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Prostanthera lasianthos,3415,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Asterella drummondii,14776,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Asterella drummondii,14776,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Cephaloziella exiliflora,15455,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Cephaloziella exiliflora,15455,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Lethocolea pansa,14794,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Lethocolea pansa,14794,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Marchantia polymorpha,15410,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Marchantia polymorpha,15410,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Barbula calycina,15404,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Barbula calycina,15404,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Breutelia affinis,15453,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Breutelia affinis,15453,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Campylopus introflexus,14781,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Campylopus introflexus,14781,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Campylopus pyriformis,15610,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Campylopus pyriformis,15610,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Ceratodon purpureus,13900,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Ceratodon purpureus,13900,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Funaria hygrometrica,13738,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Funaria hygrometrica,13738,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Polytrichum juniperinum,14782,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Polytrichum juniperinum,14782,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Wijkia extenuata,14768,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Wijkia extenuata,14768,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Aira caryophyllea,4730,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Aira caryophyllea,4730,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Briza minor,4801,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Briza minor,4801,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Echinopogon ovatus,4934,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Echinopogon ovatus,4934,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Vulpia myuros,5242,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Vulpia myuros,5242,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Acacia acinacea,3699,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia acinacea,3699,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Acacia genistifolia,3781,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia genistifolia,3781,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Acacia verniciflua,3895,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Acacia verniciflua,3895,Wark 1997,repr3,3,3,NA,NA,"First flowering, F3; Regeneration strategy, OSR",NA
Correa reflexa,5772,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Correa reflexa,5772,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Epacris impressa,2597,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Epacris impressa,2597,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Goodenia ovata,3192,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Goodenia ovata,3192,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Ozothamnus ferrugineus,8885,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Ozothamnus ferrugineus,8885,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Indigofera australis,2882,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Indigofera australis,2882,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Olearia lirata,1598,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Olearia lirata,1598,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Olearia phlogopappa,1607,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Olearia phlogopappa,1607,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Olearia ramulosa,1611,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Olearia ramulosa,1611,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pultenaea daphnoides,2985,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pultenaea daphnoides,2985,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pultenaea scabra,3016,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pultenaea scabra,3016,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Pimelea humilis,6179,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pimelea humilis,6179,Wark 1997,repr3,1,1,NA,NA,"First flowering, F1; Regeneration strategy, OSR",NA
Pimelea linifolia,6182,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
Pimelea linifolia,6182,Wark 1997,repr3,2,2,NA,NA,"First flowering, F2; Regeneration strategy, OSR",NA
Leptospermum continentale,7970,Wark 1997,surv1,None,NA,NA,NA,"Regeneration strategy, OSR",NA
