species,group,mean_seedlings_block2_1998,mean_seedlings_block4_1998,mean_seedlings_block5_1998
Allocasuarina littoralis,Sclerophyll,0.01,0.12,0
Allocasuarina torulosa,Sclerophyll,0.08,0.27,0
Eucalyptus intermedia,Sclerophyll,0.01,0.03,0
Eucalyptus tereticornis,Sclerophyll,0,0.25,0
Eucalyptus torelliana,Sclerophyll,0.01,0,0
Lophostemon suaveolens,Sclerophyll,0.02,0.13,0.05
Acacia cincinnata,Rainforest pioneer,0.36,1.39,0.01
Alphitonia petrei,Rainforest pioneer,3.52,2.9,0.02
Commersonia bertramia,Rainforest pioneer,0.02,0,0.02
Mallotus paniculatus,Rainforest pioneer,0.05,0.01,0
Melastoma affine,Rainforest pioneer,0.31,0.1,0.06
Melicope elleryana,Rainforest pioneer,0.03,0,0
Rapanea variabilis,Rainforest pioneer,0.01,0,0
Rhodomyrtus trineura,Rainforest pioneer,0.11,0,0
Trema tomentosa,Rainforest pioneer,0.16,0.02,0
