species,group,pct_resprouting_1996,n_individuals_1996,pct_resprouting_1997,n_individuals_1997,raw_notes
Acacia flavescens,Sclerophyll,69,13,98,43,
Allocasuarina littoralis,Sclerophyll,33,3,45,13,
Allocasuarina torulosa,Sclerophyll,100,15,NA,0,not present at 1997 sites
Alphitonia excelsa,Sclerophyll,100,4,NA,0,not present at 1997 sites
Banksia aquilonia,Sclerophyll,100,2,150,2,1997 value: root suckering — surviving suckers >100% of original plants (footnote B)
Eucalyptus intermedia,Sclerophyll,100,3,100,12,
Eucalyptus tereticornis,Sclerophyll,100,1,100,8,
Eucalyptus torelliana,Sclerophyll,100,1,NA,0,not present at 1997 sites
Lantana camara,Sclerophyll,NA,0,NA,0,no pre-fire individuals recorded at either fire site
Lophostemon suaveolens,Sclerophyll,100,3,NA,0,not present at 1997 sites
Acacia aulacocarpa,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Acacia cincinnata,Rainforest pioneer,7,15,NA,0,not present at 1997 sites
Alphitonia petrei,Rainforest pioneer,0,23,0,3,
Alstonia muelleriana,Rainforest pioneer,133,3,164,NA,both fires: root suckering — resprouts exceed original plant count (footnote B); 1997 n SE given as ±121
Callicarpa pendunculata,Rainforest pioneer,100,1,NA,0,not present at 1997 sites
Canthium sp.,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 1 resprout recorded but pre-fire count not available; percentage not calculable
Cissus opaca,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Commersonia bertramia,Rainforest pioneer,100,8,NA,0,not present at 1997 sites
Diospyros pentamera,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 1 resprout recorded but pre-fire count not available; percentage not calculable
Duboisia myoporoides,Rainforest pioneer,NA,0,500,2,1997 value: root suckering — surviving suckers 500% of original plants (footnote B)
Glochidion sp.,Rainforest pioneer,100,1,100,1,
Guioa acutifolia,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 4 resprouts recorded but pre-fire count not available
Mallotus paniculatus,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 3 resprouts recorded but pre-fire count not available
Melastoma affine,Rainforest pioneer,91,42,100,9,
Melicope elleryana,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Neolitsea dealbata,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 1 resprout recorded but pre-fire count not available
Polyscias australiana,Rainforest pioneer,NA,NA,NA,0,Site 2 only: 1 resprout recorded but pre-fire count not available
Rainforest sp. 1,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Rapanea variabilis,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Rhodomyrtus trineura,Rainforest pioneer,83,6,50,2,
Sapinadaceae,Rainforest pioneer,NA,0,NA,0,no pre-fire individuals recorded
Trema tomentosa,Rainforest pioneer,100,1,NA,0,not present at 1997 sites
