Family,species,susceptibility,Seedlings
APIACEAE,Actinotus helianthi,fs,44
APIACEAE,Actinotus minor,r,6
APIACEAE,Platysace linearifolia,r,32
APIACEAE,Xanthosia tridentata,?fs,5
DILLENIACEAE,Hibbertia cistiflora,?fs,5
DILLENIACEAE,Hibbertia monogyna,?fs,4
EPACRIDACEAE,Epacris pulchella,fs,2
EPACRIDACEAE,Leucopogon microphyllus,?fs,5
EPACRIDACEAE,Woollsia pungens,fs,13
EUPHORBIACEAE,Poranthera ericifolia,fs,7
FABACEAE,Acacia hispida,?fs,2
FABACEAE,Acacia suaveolens,fs,4
FABACEAE,Bossiaea heterophylla,fs,2
FABACEAE,Dillwynia retorta,fs,8
FABACEAE,Gompholobium grandiflorum,?fs,6
GOODENIACEAE,Goodenia bellidifolia,?fs,2
HALORAGACEAE,Gonocarpus teucrioides,fs,43
LAMIACEAE,Hemigenia purpurea,?fs,3
LOGANIACEAE,Mitrasacme polymorpha,fs,6
PROTEACEAE,Banksia ericifolia,fs,22
PROTEACEAE,Banksia oblongifolia,r,7
PROTEACEAE,Banksia serrata,r,3
PROTEACEAE,Conospermum taxifolium,fs,2
PROTEACEAE,Grevillea buxifolia,?fs,2
PROTEACEAE,Grevillea sericea,fs,18
PROTEACEAE,Grevillea speciosa,?fs,2
PROTEACEAE,Hakea teretifolia,fs,15
PROTEACEAE,Petrophile pulchella,fs,26
RHAMNACEAE,Cryptandra ericoides,?fs,3
RUTACEAE,Boronia ledifolia,fs,12
RUTACEAE,Boronia serrulata,fs,1
RUTACEAE,Eriostemon australasius,fs,3
RUTACEAE,Eriostemon buxifolius,fs,38
RUTACEAE,Philotheca salsolifolia,fs,2
THYMELAEACEAE,Pimelea linifolia,fs,4
TREMANDRACEAE,Tetratheca ericifolia,?fs,8
TREMANDRACEAE,Tetratheca shiressii,?fs,4
