record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
12520,3881,Acacia suaveolens,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
12418,3806,Acacia lanigera,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13023,2585,Astroloma pinifolium,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13701,5531,Coleocarya gracilis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14244,2843,Dillwynia floribunda,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14685,2602,Epacris obtusifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14689,2605,Epacris pulchella,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15418,3197,Goodenia stelligera,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15386,2870,Gompholobium virgatum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15388,2870,Gompholobium virgatum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15392,3243,Gonocarpus micranthus,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15911,2536,Hibbertia fasciculata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15917,2539,Hibbertia linearis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15919,2542,Hibbertia obtusifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16063,3556,Laxmannia gracilis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16421,5865,Leptomeria acida,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16492,2615,Leucopogon deformis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16494,2616,Leucopogon ericoides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16501,6845,Leucopogon lanceolatus var. gracilis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16518,2636,Leucopogon rodwayi,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16586,3907,Macarthuria neocambrica,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16931,2938,Mirbelia rubiifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16934,3595,Mitrasacme polymorpha,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16950,6407,Olax stricta,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17036,5476,Persoonia virgata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17067,6182,Pimelea linifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17127,5703,Pomax umbellata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17148,2756,Pseudanthus orientalis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17243,2507,Schoenus turbinatus,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17288,2655,Sprengelia sprengelioides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17313,2662,Styphelia viridis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17338,6214,Tetratheca thymifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17397,2664,Woollsia pungens,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17406,1162,Xanthosia pilosa,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13064,5339,Banksia aemula,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
13088,5345,Banksia oblongifolia,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
13112,2268,Bauera rubioides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13155,5739,Boronia falcifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13180,5758,Boronia safrolifera,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13190,2778,Bossiaea ensata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13194,2780,Bossiaea heterophylla,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13602,4021,Calytrix tetragona,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13701,5531,Coleocarya gracilis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14040,5352,Conospermum taxifolium,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14671,4947,Entolasia stricta,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14707,5776,Eriostemon australasius,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14709,5776,Eriostemon australasius,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15382,2868,Gompholobium pinnatum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15895,2526,Hibbertia acicularis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15940,2551,Hibbertia vestita,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
15995,5533,Hypolaena fastigiata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16419,5534,Leptocarpus tenax,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16438,4221,Leptospermum juniperinum,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
16443,4224,Leptospermum liversidgei,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
16469,4236,Leptospermum semibaccatum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16477,8486,Leptospermum trinervium,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16505,2625,Leucopogon leptospermoides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16524,2639,Leucopogon virgatus,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16546,6301,Lomandra elongata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16625,4260,Melaleuca quinquenervia,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
16934,3595,Mitrasacme polymorpha,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16936,2649,Monotoca scoparia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16949,4307,Olax retusa,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16987,5066,Panicum simile,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16993,3300,Patersonia fragilis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16994,3301,Patersonia glabrata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
16996,3303,Patersonia sericea,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17061,2958,Phyllota phylicoides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17067,6182,Pimelea linifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17079,1143,Platysace ericoides,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17148,2756,Pseudanthus orientalis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17239,2495,Schoenus ericetorum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17238,2492,Schoenus brevifolius,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17293,6122,Stackhousia nuda,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17303,6157,Stylidium graminifolium,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
17338,6214,Tetratheca thymifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
