bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Acacia suaveolens,3881,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Acacia lanigera,3806,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Astroloma pinifolium,2585,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Caustis recurvata,2343,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Coleocarya gracilis,5531,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Dillwynia floribunda,2843,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Dillwynia retorta,2850,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Epacris obtusifolia,2602,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Epacris pulchella,2605,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Goodenia stelligera,3197,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Gompholobium virgatum,2870,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Gonocarpus micranthus,3243,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Hibbertia fasciculata,2536,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Hibbertia linearis,2539,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Hibbertia obtusifolia,2542,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Laxmannia gracilis,3556,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Leptomeria acida,5865,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Leucopogon deformis,2615,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Leucopogon ericoides,2616,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Leucopogon lanceolatus var. gracilis,6845,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Leucopogon rodwayi,2636,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Macarthuria neocambrica,3907,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Mirbelia rubiifolia,2938,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Mitrasacme polymorpha,3595,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Olax stricta,6407,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Persoonia virgata,5476,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Pimelea linifolia,6182,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Pomax umbellata,5703,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Pseudanthus orientalis,2756,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Schoenus turbinatus,2507,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
Sprengelia sprengelioides,2655,Benwell 1998,germ1,Soil-persistent,NA,NA,NA,"fire_response, OSR-1"
