bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Acacia latisepala,3807,Clarke Fulloon 1999,surv5,NA,NA,10,NA,"longevity, >10 years"
Acacia latisepala,3807,Clarke Fulloon 1999,repr3,NA,2,NA,NA,"primary_juvenile_period, 2"
Brachyloma saxicola,9295,Clarke Fulloon 1999,surv5,NA,NA,20,NA,"longevity, > 20 years"
Brachyloma saxicola,9295,Clarke Fulloon 1999,repr3,NA,NA,2,3,"primary_juvenile_period, 2-3 years"
Grevillea beadleana,8293,Clarke Fulloon 1999,surv5,NA,20,NA,NA,"longevity, 20"
Grevillea beadleana,8293,Clarke Fulloon 1999,repr3,NA,NA,3,5,"primary_juvenile_period, 3-5 years"
Hakea macrorrhyncha,9602,Clarke Fulloon 1999,surv5,NA,NA,NA,20,"longevity, < 20 years"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,repr3,NA,NA,NA,1,"primary_juvenile_period, < 1 year"
Monotaxis macrophylla,2739,Clarke Fulloon 1999,repr3,NA,NA,NA,1,"primary_juvenile_period, < 1 year"
Olearia gravis,1595,Clarke Fulloon 1999,repr3,NA,NA,NA,2,"primary_juvenile_period, < 2 years"
Prostanthera staurophylla,3433,Clarke Fulloon 1999,surv5,NA,NA,NA,10,"longevity, < 10 years"
Rutidosis heterogama,1643,Clarke Fulloon 1999,repr3,NA,NA,NA,1,"primary_juvenile_period, < 1 year"
Kardomia odontocalyx,13291,Clarke Fulloon 1999,surv5,NA,NA,10,NA,"longevity, > 10"
Philotheca epilosa,12004,Clarke Fulloon 1999,repr3,NA,3,NA,NA,"primary_juvenile_period, 3 years"
Pultenaea foliolosa,2994,Clarke Fulloon 1999,repr3,NA,2,NA,NA,"primary_juvenile_period, 2 years"
Acacia brunioides subsp. granitica,9240,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? ants"
Acacia brunioides subsp. granitica,9240,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Acacia burbidgeae,3725,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ants"
Acacia burbidgeae,3725,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Acacia latisepala,3807,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? ants"
Acacia latisepala,3807,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Acacia macnuttiana,3820,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Acacia pubifolia,9405,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Acacia williamsiana,10796,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Almaleea cambagei,8368,Clarke Fulloon 1999,disp1,ant,NA,NA,NA,"dispersal, ? ants, ? water"
Almaleea cambagei,8368,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers?"
