record_id,species_code,species,trait_code,main_source,original_sources,norm_value,best,lower,upper,match_type
NA,2345,Chorizandra sphaerocephala,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
NA,6298,Lomandra cylindrica,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
NA,3577,Tricoryne simplex,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
NA,7931,Lomandra filiformis subsp. filiformis,repr3a,NSWFFRDv2.1,NA,NA,1,NA,NA,possible
12463,3834,Acacia myrtifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
157398,3869,Acacia rubida,surv1,NSWFFRDv2.1,NA,Few,NA,NA,NA,possible
12504,3869,Acacia rubida,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
12520,3881,Acacia suaveolens,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
12526,3885,Acacia terminalis,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
12581,1095,Actinotus minor,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
158252,8364,Almaleea paludosa,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
12633,8364,Almaleea paludosa,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13049,3986,Baeckea brevifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13055,3995,Baeckea imbricata,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13057,3997,Baeckea linifolia,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13088,5345,Banksia oblongifolia,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
13090,5346,Banksia paludosa,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
13098,5347,Banksia robur,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
13110,7219,Bauera microphylla,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13170,5749,Boronia parviflora,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13544,4004,Callistemon citrinus,germ1,NSWFFRDv2.1,NA,Canopy,NA,NA,NA,possible
163359,3467,Cassytha glabella,surv1,NSWFFRDv2.1,NA,None,NA,NA,NA,possible
13634,3467,Cassytha glabella,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
2460,2344,Chorizandra cymbaria,repr2,NSWFFRDv2.1,NA,Exclusive,NA,NA,NA,possible
2461,2345,Chorizandra sphaerocephala,repr2,NSWFFRDv2.1,NA,Exclusive,NA,NA,NA,possible
13703,5252,Comesperma defoliatum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
13705,5255,Comesperma retusum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14034,9136,Conospermum ellipticum,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
14040,5352,Conospermum taxifolium,germ1,NSWFFRDv2.1,NA,Soil-persistent,NA,NA,NA,possible
