bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Acacia longifolia,3816,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Acacia myrtifolia,3834,Keith 1991,repr3,NA,3,NA,NA,"primary_juvenile_period, 3"
Acacia myrtifolia,3834,Keith 1991,surv5,NA,12.5,5,20,"plant_longevity, 5-20"
Acacia rubida,3869,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Acacia suaveolens,3881,Keith 1991,repr3,NA,2,NA,NA,"primary_juvenile_period, 2"
Acacia suaveolens,3881,Keith 1991,surv5,NA,12.5,5,20,"plant_longevity, 5-20"
Acacia terminalis,3885,Keith 1991,surv5,NA,12.5,5,20,"plant_longevity, 5-20"
Actinotus minor,1095,Keith 1991,repr3a,NA,1,NA,NA,"secondary_juvenile_period, 1"
Actinotus minor,1095,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Allocasuarina paludosa,2015,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Almaleea paludosa,8364,Keith 1991,repr3,NA,1,NA,NA,"primary_juvenile_period, 1"
Almaleea paludosa,8364,Keith 1991,surv5,NA,12.5,5,20,"plant_longevity, 5-20"
Aotus ericoides,2770,Keith 1991,repr3a,NA,3,NA,NA,"secondary_juvenile_period, 3"
Aotus ericoides,2770,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Baeckea brevifolia,3986,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Baeckea imbricata,3995,Keith 1991,repr3a,NA,2,NA,NA,"secondary_juvenile_period, 2"
Baeckea imbricata,3995,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Baeckea linifolia,3997,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Banksia ericifolia,5342,Keith 1991,repr3,NA,5,NA,NA,"primary_juvenile_period, 5"
Banksia ericifolia,5342,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Banksia oblongifolia,5345,Keith 1991,repr3a,NA,2,NA,NA,"secondary_juvenile_period, 2"
Banksia oblongifolia,5345,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Banksia paludosa,5346,Keith 1991,repr3a,NA,4,NA,NA,"secondary_juvenile_period, 4"
Banksia paludosa,5346,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Banksia robur,5347,Keith 1991,repr3a,NA,2,NA,NA,"secondary_juvenile_period, 2"
Banksia robur,5347,Keith 1991,surv5,NA,60,60,NA,"plant_longevity, >60"
Bauera microphylla,7219,Keith 1991,repr3,NA,3,NA,NA,"primary_juvenile_period, 3"
Bauera microphylla,7219,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Blandfordia nobilis,3529,Keith 1991,repr3a,NA,1,NA,NA,"secondary_juvenile_period, 1"
Blandfordia nobilis,3529,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
Boronia parviflora,5749,Keith 1991,repr3,NA,4,NA,NA,"primary_juvenile_period, 4"
Boronia parviflora,5749,Keith 1991,repr3a,NA,1,NA,NA,"secondary_juvenile_period, 1"
Boronia parviflora,5749,Keith 1991,surv5,NA,40.5,21,60,"plant_longevity, 21-60"
