Source,ref_code
"Enright, N.J., Goldblum, D., Ata, P., & Ashton, D.H. (1997) The independent effects of heat, smoke and ash on emergence of seedlings from the soil seed bank of a heathy Eucalyptus woodland in Grampians (Gariwerd) National Park, western Victoria. Australian Journal of Ecology 22:81-8. Enright, N.J., & Kintrup, A. (2001) Effects of smoke, heat and charred wood on the germination of dormant soil-stored seeds from a Eucalyptus baxteri heathy-woodland in Victoria, SE Australia. Austral Ecology 26:132-41. [Info]",Enright Goldblum Ata Ashton 1997
"Keith, D.A. (1991). Coexistance and species diversity in upland swamp vegetation: The roles of an environmental gradient and recurring fires. A thesis. Biological Sciences, Sydney University. [Info]",Keith 1991
"Kirkpatrick, J.B. & Dickinson, K.J.M. (1984) The impact of fire on Tasmanian alpine vegetation and soils. Aust.J.Botany 32:613-29 (61) / Kirkpatrick, J.B. Bridle, K.L. & Wild, A.S. (2002) Succession after fire in alpine vegetation on Mount Wellington, Tasmania. Aust.J.Botany 50:145-54 (61b) [Info]",Kirkpatrick 1984
"Lunt, I.D. (1995) Seed longevity of six native forbs in a closed Themeda triandra grassland. Aust.J.Botany 43:439-49 [Info]",Lunt 1995
"Morgan, J.W. (1996) Secondary juvenile period and community recovery following late-spring burning of a kangaroo grass Themeda triandra grassland. Vic. Nat 113(2):47-57 [Info]",Morgan 1996
"Morris, E.C. (2000) Germination response of seven east Australian Grevillea species (Proteaceae) to smoke, heat exposure and scarification. Australian Journal of Botany, 48, 179-189. Morris, E.C., & Wood, P.D. (2001) The soil seed bank of Cumberland Plain Woodland. Poster presented at ESA 2001, University of Wollongong. [Info]",Morris 2000
"Morrison, D.A. et al (1995) Effects of fire frequency on plant species compostition of sandstone communities in the Sydney region: Inter-fire interval and time-since-fire. Aust.J.Ecology 20:239-247 / Cary, G.J. & Morrison, D.A. (1995) Effects of fire frequency on plant species composition of sandstone communities in the Sydney region: Combinations of inter-fire intervals. Aust.J.Ecology 20:418-426 [Info]",Morrison 1995
"Morrison, D.A. & Renwick, J.A. (2000) Effects of variation in fire intensity on regeneration of co-occurring species of small trees in the Sydney region. Aust.J.Botany 48:71-79 [Info]",Morrison Renwick 2000
"Myerscough, P.J., Clarke, P.J. & Skelton, N.J. (1995) Plant coexistence in coastal heaths: Floristic patterns and species attributes Aust.J.Ecology 20:482-493. Data compiled by D.Keith (Keith, D.A., McCaw, W.L. & Whelan, R.J. (2002) pp. 199-237 in ""Flammable Australia: The fire regimes and biodiversity of a continent"" Ed. R.A. Bradstock, J.E. Williams & M.A. Gill. Cambridge University Press, Cambridge) [Info]",Myerscough Clarke Skelton 1995
"Purdie, R.W. (1977). Early stages of regeneration after burning in dry sclerophyll vegetation. 1. Regeneration of the understorey by vegetative means. Aust.J.Bot. 25, 21-34. & Purdie, R.W. (1977). Early stages of regeneration after burning in dry sclerophyll vegetation. 2. Regeneration by seed germination. Aust.J.Bot. 25, 35-46. [Info]",Purdie 1977
"Purdie, Rosemary W.; Slatyer, R. O. (1976) {Vegetation succession after fire in sclerophyll woodland communities in south-eastern Australia} Australian Journal of Ecology 1 [Info]",Purdie Slatyer 1976
